run:      1; obh2 = 2.207E-02
 computational parameters:
   cy = 0.003/  ct = 0.000/  initial temp = 3.48E+02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 model parameters:
   g =  0.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00
it =    306

    temp        n/H          p          D/H         T/H        3He/H        4He        6Li/H       7Li/H       7Be/H
 1.023E-01   1.642E-01   8.590E-01   2.752E-06   3.085E-07   1.091E-09   3.045E-06   3.215E-21   1.908E-17   1.317E-23
 1.008E-01   1.633E-01   8.596E-01   3.680E-06   3.900E-07   1.242E-09   3.878E-06   5.697E-21   4.134E-17   2.308E-23
 9.932E-02   1.624E-01   8.603E-01   4.899E-06   4.863E-07   1.399E-09   4.963E-06   9.988E-21   8.745E-17   3.987E-23
 9.794E-02   1.615E-01   8.610E-01   6.497E-06   5.978E-07   1.557E-09   6.389E-06   1.737E-20   1.803E-16   6.778E-23
 9.662E-02   1.606E-01   8.616E-01   8.583E-06   7.243E-07   1.714E-09   8.281E-06   3.005E-20   3.616E-16   1.132E-22
 9.534E-02   1.597E-01   8.622E-01   1.130E-05   8.654E-07   1.866E-09   1.081E-05   5.178E-20   7.050E-16   1.856E-22
 9.412E-02   1.589E-01   8.629E-01   1.482E-05   1.021E-06   2.015E-09   1.422E-05   8.906E-20   1.336E-15   2.986E-22
 9.295E-02   1.580E-01   8.635E-01   1.937E-05   1.194E-06   2.166E-09   1.884E-05   1.531E-19   2.467E-15   4.721E-22
 9.180E-02   1.571E-01   8.642E-01   2.538E-05   1.392E-06   2.332E-09   2.529E-05   2.661E-19   4.501E-15   7.426E-22
 9.067E-02   1.562E-01   8.648E-01   3.332E-05   1.625E-06   2.533E-09   3.446E-05   4.689E-19   8.170E-15   1.170E-21
 8.957E-02   1.553E-01   8.654E-01   4.374E-05   1.906E-06   2.792E-09   4.756E-05   8.345E-19   1.475E-14   1.849E-21
 8.851E-02   1.544E-01   8.661E-01   5.725E-05   2.251E-06   3.141E-09   6.640E-05   1.495E-18   2.654E-14   2.951E-21
 8.748E-02   1.535E-01   8.667E-01   7.473E-05   2.680E-06   3.624E-09   9.383E-05   2.700E-18   4.785E-14   4.787E-21
 8.649E-02   1.526E-01   8.673E-01   9.726E-05   3.220E-06   4.307E-09   1.343E-04   4.919E-18   8.681E-14   7.956E-21
 8.553E-02   1.517E-01   8.679E-01   1.262E-04   3.901E-06   5.288E-09   1.947E-04   9.049E-18   1.588E-13   1.364E-20
 8.461E-02   1.508E-01   8.685E-01   1.634E-04   4.761E-06   6.720E-09   2.856E-04   1.680E-17   2.933E-13   2.423E-20
 8.371E-02   1.498E-01   8.690E-01   2.110E-04   5.847E-06   8.843E-09   4.236E-04   3.143E-17   5.466E-13   4.477E-20
 8.284E-02   1.489E-01   8.694E-01   2.716E-04   7.214E-06   1.203E-08   6.341E-04   5.923E-17   1.026E-12   8.617E-20
 8.199E-02   1.478E-01   8.698E-01   3.486E-04   8.929E-06   1.688E-08   9.563E-04   1.122E-16   1.939E-12   1.726E-19
 8.118E-02   1.466E-01   8.701E-01   4.460E-04   1.107E-05   2.432E-08   1.450E-03   2.131E-16   3.673E-12   3.582E-19
 8.038E-02   1.454E-01   8.703E-01   5.684E-04   1.374E-05   3.576E-08   2.205E-03   4.051E-16   6.961E-12   7.660E-19
