 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                zn77          zn78          zn79          zn80          zn81          zn82          zn83          zn84 
    329  1.457052374241E-01  7.334924E-23  4.401395E-16  4.469219E-11  9.856374E-06  4.351985E-07  7.088269E-05  2.225134E-07  1.061017E-05
    330  1.463107957421E-01  4.907715E-23  2.720203E-16  3.159031E-11  8.269893E-06  3.846940E-07  7.064677E-05  2.290214E-07  1.226164E-05
    331  1.468752132891E-01  3.480911E-23  1.722856E-16  2.269853E-11  6.978086E-06  3.409061E-07  7.005819E-05  2.340885E-07  1.397036E-05
    332  1.475510939381E-01  2.390434E-23  9.908020E-17  1.518195E-11  5.651174E-06  2.929066E-07  6.889644E-05  2.387832E-07  1.623635E-05
    333  1.481899111058E-01  1.713090E-23  5.796647E-17  1.026361E-11  4.589726E-06  2.517050E-07  6.735007E-05  2.417229E-07  1.861531E-05
    334  1.491767377555E-01  1.053616E-23  2.484878E-17  5.509539E-12  3.275182E-06  1.961709E-07  6.415271E-05  2.431842E-07  2.273426E-05
    335  1.497116139607E-01  8.168183E-24  1.559752E-17  3.907547E-12  2.706144E-06  1.701039E-07  6.204308E-05  2.423457E-07  2.517783E-05
    336  1.502421520731E-01  6.335363E-24  9.703409E-18  2.749824E-12  2.223578E-06  1.466835E-07  5.969964E-05  2.402924E-07  2.775382E-05
    337  1.509052103900E-01  4.614331E-24  5.327205E-18  1.761419E-12  1.725135E-06  1.209371E-07  5.647295E-05  2.360698E-07  3.114075E-05
    338  1.515352476696E-01  3.410547E-24  3.000209E-18  1.148386E-12  1.343835E-06  9.985925E-08  5.315002E-05  2.303959E-07  3.449487E-05
    339  1.521327102765E-01  2.541232E-24  1.718257E-18  7.572855E-13  1.049998E-06  8.249872E-08  4.979332E-05  2.234843E-07  3.778507E-05
    340  1.526678407657E-01  1.944660E-24  1.039673E-18  5.201144E-13  8.358169E-07  6.906044E-08  4.667262E-05  2.161659E-07  4.077184E-05
    341  1.532481602429E-01  1.449294E-24  6.039500E-19  3.464739E-13  6.478755E-07  5.655707E-08  4.321818E-05  2.071684E-07  4.400770E-05
    342  1.535863948111E-01  1.217715E-24  4.403504E-19  2.736484E-13  5.563613E-07  5.016020E-08  4.118700E-05  2.014577E-07  4.587863E-05
    343  1.538995751697E-01  1.032504E-24  3.279005E-19  2.196265E-13  4.815967E-07  4.474227E-08  3.929546E-05  1.958509E-07  4.760135E-05
    344  1.546020187628E-01  7.088088E-25  1.711612E-19  1.355871E-13  3.454858E-07  3.434756E-08  3.509528E-05  1.825064E-07  5.135335E-05
    345  1.552062305672E-01  5.098294E-25  9.998751E-20  9.141650E-14  2.573232E-07  2.713137E-08  3.158345E-05  1.704175E-07  5.440621E-05
    346  1.557875935888E-01  3.680350E-25  6.086555E-20  6.394103E-14  1.920170E-07  2.143405E-08  2.832134E-05  1.583906E-07  5.716470E-05
    347  1.566447447202E-01  2.245646E-25  3.100609E-20  4.000711E-14  1.228176E-07  1.492430E-08  2.380697E-05  1.404473E-07  6.082730E-05
    348  1.574294426159E-01  1.415717E-25  1.802501E-20  2.807929E-14  8.047585E-08  1.057807E-08  2.006034E-05  1.243490E-07  6.368018E-05
    349  1.581710514975E-01  9.030164E-26  1.140832E-20  2.132936E-14  5.317820E-08  7.534423E-09  1.686744E-05  1.096221E-07  6.592299E-05
    350  1.588328903187E-01  6.026115E-26  7.918742E-21  1.744095E-14  3.642207E-08  5.520858E-09  1.433690E-05  9.723601E-08  6.751618E-05
    351  1.594606073659E-01  4.097287E-26  5.745796E-21  1.480526E-14  2.523330E-08  4.080035E-09  1.220565E-05  8.623168E-08  6.867466E-05
