 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                prot          he4  
    383  1.895671856375E-01  8.298043E-12  3.370991E-02
    384  1.907324824205E-01  7.732697E-12  3.369725E-02
    385  1.917913284253E-01  7.258257E-12  3.368625E-02
    386  1.928179034582E-01  6.828059E-12  3.367604E-02
    387  1.939781308337E-01  6.374337E-12  3.366505E-02
    388  1.950365569225E-01  5.984375E-12  3.365551E-02
    389  1.963061656501E-01  5.541598E-12  3.364465E-02
    390  1.975160386553E-01  5.139501E-12  3.363489E-02
    391  1.988970783448E-01  4.695353E-12  3.362441E-02
    392  2.001908516564E-01  4.290553E-12  3.361521E-02
    393  2.023233395230E-01  3.639552E-12  3.360124E-02
    394  2.035207364909E-01  3.283040E-12  3.359399E-02
    395  2.047171141817E-01  2.933982E-12  3.358713E-02
    396  2.061861175315E-01  2.521302E-12  3.357920E-02
    397  2.075162532616E-01  2.168473E-12  3.357242E-02
    398  2.088103947538E-01  1.849232E-12  3.356615E-02
    399  2.102374295066E-01  1.530315E-12  3.355953E-02
    400  2.116254943500E-01  1.257225E-12  3.355334E-02
    401  2.137594200207E-01  9.103719E-13  3.354415E-02
    402  2.149968302441E-01  7.484019E-13  3.353895E-02
    403  2.163578604848E-01  5.998145E-13  3.353329E-02
    404  2.188327022992E-01  3.988174E-13  3.352301E-02
    405  2.210861741802E-01  2.762739E-13  3.351357E-02
    406  2.231360986547E-01  2.003198E-13  3.350481E-02
    407  2.249661932162E-01  1.528895E-13  3.349683E-02
    408  2.266023391923E-01  1.222507E-13  3.348954E-02
    409  2.291569547831E-01  8.942314E-14  3.347790E-02
    410  2.305971902523E-01  7.638424E-14  3.347121E-02
    411  2.319348711247E-01  6.674943E-14  3.346494E-02
    412  2.335360820165E-01  5.751386E-14  3.345740E-02
    413  2.351317971316E-01  5.007307E-14  3.344988E-02
    414  2.376293164755E-01  4.089179E-14  3.343823E-02
    415  2.399259738388E-01  3.428292E-14  3.342779E-02
    416  2.420046682363E-01  2.924062E-14  3.341871E-02
    417  2.451201276448E-01  2.286047E-14  3.340593E-02
    418  2.467564269033E-01  2.000137E-14  3.339970E-02
    419  2.483354027874E-01  1.749626E-14  3.339402E-02
    420  2.499258654919E-01  1.521190E-14  3.338865E-02
    421  2.515152656983E-01  1.315726E-14  3.338363E-02
    422  2.542060864984E-01  1.017249E-14  3.337591E-02
    423  2.556901221114E-01  8.758462E-15  3.337206E-02
    424  2.570805114381E-01  7.557844E-15  3.336871E-02
    425  2.598984391343E-01  5.482047E-15  3.336262E-02
    426  2.622653138568E-01  4.137985E-15  3.335818E-02
    427  2.644885215151E-01  3.138716E-15  3.335452E-02
    428  2.667229470066E-01  2.342016E-15  3.335129E-02
    429  2.687894382327E-01  1.770599E-15  3.334867E-02
    430  2.709436570286E-01  1.310343E-15  3.334626E-02
    431  2.728595154549E-01  9.927234E-16  3.334437E-02
    432  2.763050324764E-01  5.876745E-16  3.334148E-02
    433  2.797281875476E-01  3.395894E-16  3.333917E-02
    434  2.831107064370E-01  1.925220E-16  3.333733E-02
    435  2.863632962154E-01  1.092433E-16  3.333589E-02
    436  2.894106333807E-01  6.290839E-17  3.333478E-02
    437  2.941185503109E-01  2.533884E-17  3.333344E-02
    438  2.983685787405E-01  1.079139E-17  3.333252E-02
    439  3.021949729112E-01  4.857021E-18  3.333189E-02
    440  3.059150641439E-01  2.158338E-18  3.333140E-02
    441  3.094680949786E-01  9.631814E-19  3.333103E-02
    442  3.127856926026E-01  4.425741E-19  3.333076E-02
    443  3.178598433803E-01  1.227787E-19  3.333044E-02
    444  3.224504526026E-01  3.698134E-20  3.333024E-02
    445  3.266870398371E-01  1.172188E-20  3.333010E-02
    446  3.305577136787E-01  4.026108E-21  3.333001E-02
    447  3.362681054783E-01  7.315399E-22  3.332991E-02
    448  3.414589872690E-01  1.703987E-22  3.332986E-02
    449  3.462773530350E-01  5.406577E-23  3.332982E-02
    450  3.508856189623E-01  2.400810E-23  3.332980E-02
    451  3.552628710565E-01  1.392766E-23  3.332979E-02
    452  3.595141079779E-01  9.377650E-24  3.332977E-02
    453  3.636744849418E-01  6.899506E-24  3.332977E-02
    454  3.676260234901E-01  5.462779E-24  3.332976E-02
    455  3.714655117309E-01  4.673901E-24  3.332976E-02
    456  3.752653942304E-01  4.268954E-24  3.332976E-02
    457  3.809506426681E-01  4.138202E-24  3.332975E-02
    458  3.865190953769E-01  4.388179E-24  3.332975E-02
    459  3.928522091207E-01  4.988594E-24  3.332975E-02
    460  3.991093841216E-01  5.844452E-24  3.332975E-02
    461  4.054183851758E-01  6.946785E-24  3.332975E-02
    462  4.147392755742E-01  9.051715E-24  3.332975E-02
    463  4.232199499949E-01  1.154218E-23  3.332975E-02
    464  4.316976825025E-01  1.472718E-23  3.332975E-02
    465  4.393401554526E-01  1.836103E-23  3.332975E-02
    466  4.465935084243E-01  2.262911E-23  3.332975E-02
    467  4.537106765818E-01  2.779249E-23  3.332975E-02
    468  4.602314649238E-01  3.355754E-23  3.332975E-02
    469  4.709552966107E-01  4.577885E-23  3.332975E-02
