 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                rb78          rb79          rb80          rb81          rb82          rb83          rb84          rb85 
    119  4.750539400184E-02  1.000000E-30  1.000000E-30  1.823975E-30  2.394288E-27  2.041550E-25  8.854562E-23  3.398804E-21  6.698454E-19
    120  4.767210524850E-02  1.000000E-30  1.000000E-30  2.390194E-30  3.246700E-27  2.832964E-25  1.267914E-22  4.979570E-21  1.011625E-18
    121  4.783406579930E-02  1.000000E-30  1.000000E-30  3.066188E-30  4.306065E-27  3.843042E-25  1.773491E-22  7.122282E-21  1.490311E-18
    122  4.799263518131E-02  1.000000E-30  1.000000E-30  3.867556E-30  5.612066E-27  5.121162E-25  2.435593E-22  9.997968E-21  2.153608E-18
    123  4.815339657435E-02  1.000000E-30  1.000000E-30  4.841441E-30  7.263119E-27  6.779905E-25  3.325130E-22  1.395737E-20  3.096677E-18
    124  4.832264594384E-02  1.000000E-30  1.000000E-30  6.070172E-30  9.432087E-27  9.018565E-25  4.569067E-22  1.963596E-20  4.494640E-18
    125  4.849826454798E-02  1.000000E-30  1.000000E-30  7.599862E-30  1.224811E-26  1.200803E-24  6.292836E-22  2.771500E-20  6.553173E-18
    126  4.867786870736E-02  1.000000E-30  1.000000E-30  9.474398E-30  1.585101E-26  1.594510E-24  8.651012E-22  3.907053E-20  9.550643E-18
    127  4.885872256535E-02  1.000000E-30  1.000000E-30  1.172800E-29  2.037554E-26  2.103635E-24  1.182017E-21  5.475497E-20  1.384158E-17
    128  4.903755607841E-02  1.000000E-30  1.000000E-30  1.437228E-29  2.591978E-26  2.745981E-24  1.597480E-21  7.588496E-20  1.983190E-17
    129  4.921259737621E-02  1.000000E-30  1.000000E-30  1.741890E-29  3.258571E-26  3.540768E-24  2.131265E-21  1.037699E-19  2.801877E-17
    130  4.938368810460E-02  1.000000E-30  1.000000E-30  2.089492E-29  4.051474E-26  4.513075E-24  2.808766E-21  1.401019E-19  3.905696E-17
    131  4.955132280349E-02  1.000000E-30  1.000000E-30  2.483956E-29  4.988746E-26  5.694464E-24  3.662168E-21  1.870558E-19  5.380818E-17
    132  4.971624312404E-02  1.000000E-30  1.000000E-30  2.930301E-29  6.092712E-26  7.124118E-24  4.732155E-21  2.474288E-19  7.340990E-17
    133  4.987811857735E-02  1.000000E-30  1.000000E-30  3.430839E-29  7.380639E-26  8.837045E-24  6.059651E-21  3.242123E-19  9.916030E-17
    134  5.003799836445E-02  1.000000E-30  1.000000E-30  3.990663E-29  8.879974E-26  1.088520E-23  7.703606E-21  4.216735E-19  1.329213E-16
    135  5.019682549602E-02  1.000000E-30  1.000000E-30  4.618220E-29  1.062782E-25  1.333644E-23  9.739964E-21  5.453734E-19  1.771591E-16
    136  5.035511419132E-02  1.000000E-30  1.000000E-30  5.320378E-29  1.266163E-25  1.626471E-23  1.225761E-20  7.020730E-19  2.350087E-16
    137  5.051299755300E-02  1.000000E-30  1.000000E-30  6.102610E-29  1.501846E-25  1.974880E-23  1.535802E-20  8.997963E-19  3.103616E-16
    138  5.067010535678E-02  1.000000E-30  1.000000E-30  6.967076E-29  1.772856E-25  2.386273E-23  1.914738E-20  1.147414E-18  4.077791E-16
    139  5.082726902819E-02  1.000000E-30  1.000000E-30  7.921722E-29  2.084410E-25  2.872020E-23  2.377945E-20  1.457590E-18  5.337620E-16
    140  5.098506829486E-02  1.000000E-30  1.000000E-30  8.973289E-29  2.441949E-25  3.444787E-23  2.943627E-20  1.845848E-18  6.966104E-16
    141  5.114361869269E-02  1.000000E-30  1.000000E-30  1.012451E-28  2.850179E-25  4.117095E-23  3.631685E-20  2.330053E-18  9.064109E-16
    142  5.130328078870E-02  1.000000E-30  1.000000E-30  1.137778E-28  3.314326E-25  4.903459E-23  4.466219E-20  2.932440E-18  1.176164E-15
    143  5.146205644840E-02  1.000000E-30  1.000000E-30  1.271239E-28  3.831282E-25  5.805046E-23  5.458996E-20  3.667720E-18  1.516573E-15
    144  5.162089365231E-02  1.000000E-30  1.000000E-30  1.412625E-28  4.405072E-25  6.835925E-23  6.637532E-20  4.563584E-18  1.945488E-15
    145  5.177902725711E-02  1.000000E-30  1.000000E-30  1.559790E-28  5.032226E-25  7.997718E-23  8.017602E-20  5.640714E-18  2.478998E-15
    146  5.193558292952E-02  1.000000E-30  1.000000E-30  1.709723E-28  5.705343E-25  9.284923E-23  9.608218E-20  6.915757E-18  3.132687E-15
    147  5.207655208218E-02  1.000000E-30  1.000000E-30  1.845672E-28  6.349882E-25  1.055771E-22  1.124370E-19  8.261661E-18  3.846193E-15
    148  5.220437120847E-02  1.000000E-30  1.000000E-30  1.968322E-28  6.962195E-25  1.180344E-22  1.290267E-19  9.659932E-18  4.610296E-15
