 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ar31          ar32          ar33          ar34          ar35          ar36          ar37          ar38 
    114  4.684580987606E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.764003E-30  5.981479E-25  6.316213E-19  7.728328E-17  1.395004E-13
    115  4.697520204195E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.307409E-30  5.375046E-25  5.806921E-19  7.149812E-17  1.311619E-13
    116  4.709649788536E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.913293E-30  4.838365E-25  5.345991E-19  6.627583E-17  1.235336E-13
    117  4.721637454993E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.557038E-30  4.341153E-25  4.908920E-19  6.132394E-17  1.161961E-13
    118  4.732862910872E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.253418E-30  3.907052E-25  4.518203E-19  5.688872E-17  1.095251E-13
    119  4.750539400184E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.832464E-30  3.286721E-25  3.942457E-19  5.032155E-17  9.944759E-14
    120  4.767210524850E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.495847E-30  2.772131E-25  3.446234E-19  4.461379E-17  9.046185E-14
    121  4.783406579930E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.219942E-30  2.335117E-25  3.008518E-19  3.952614E-17  8.224163E-14
    122  4.799263518131E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.963305E-25  2.621669E-19  3.497528E-17  7.469110E-14
    123  4.815339657435E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.637262E-25  2.269035E-19  3.077055E-17  6.752043E-14
    124  4.832264594384E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.345691E-25  1.940568E-19  2.679344E-17  6.053720E-14
    125  4.849826454798E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.092576E-25  1.642832E-19  2.312589E-17  5.389323E-14
    126  4.867786870736E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.787857E-26  1.379753E-19  1.982376E-17  4.771138E-14
    127  4.885872256535E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.027245E-26  1.152834E-19  1.691793E-17  4.208340E-14
    128  4.903755607841E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.611750E-26  9.616766E-20  1.441864E-17  3.707306E-14
    129  4.921259737621E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.487676E-26  8.026736E-20  1.229533E-17  3.266756E-14
    130  4.938368810460E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.596403E-26  6.707072E-20  1.049521E-17  2.880328E-14
    131  4.955132280349E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.887743E-26  5.609467E-20  8.965791E-18  2.540766E-14
    132  4.971624312404E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.321878E-26  4.693148E-20  7.661468E-18  2.241349E-14
    133  4.987811857735E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.870925E-26  3.930052E-20  6.551842E-18  1.978052E-14
    134  5.003799836445E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.507904E-26  3.288339E-20  5.598560E-18  1.744256E-14
    135  5.019682549602E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.215438E-26  2.748307E-20  4.778896E-18  1.536501E-14
    136  5.035511419132E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  9.795669E-27  2.293328E-20  4.073180E-18  1.351618E-14
    137  5.051299755300E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.895676E-27  1.910405E-20  3.466083E-18  1.187206E-14
    138  5.067010535678E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.371565E-27  1.589427E-20  2.945837E-18  1.041544E-14
    139  5.082726902819E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.145021E-27  1.319447E-20  2.498400E-18  9.120067E-15
    140  5.098506829486E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.157317E-27  1.092120E-20  2.113065E-18  7.966216E-15
    141  5.114361869269E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.364247E-27  9.011553E-21  1.781883E-18  6.940142E-15
    142  5.130328078870E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.728622E-27  7.409227E-21  1.497478E-18  6.028105E-15
    143  5.146205644840E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.227111E-27  6.085014E-21  1.256871E-18  5.229324E-15
    144  5.162089365231E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.830034E-27  4.986402E-21  1.052507E-18  4.526951E-15
    145  5.177902725711E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.518057E-27  4.081506E-21  8.801601E-19  3.913749E-15
    146  5.193558292952E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.274084E-27  3.339376E-21  7.354559E-19  3.380873E-15
    147  5.207655208218E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.099577E-27  2.783459E-21  6.245995E-19  2.959135E-15
    148  5.220437120847E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  9.715597E-28  2.358019E-21  5.380319E-19  2.620066E-15
    149  5.240275279905E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.182905E-28  1.821735E-21  4.262600E-19  2.166933E-15
    150  5.258707116153E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.144227E-28  1.434337E-21  3.432066E-19  1.816505E-15
    151  5.276353482958E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.412168E-28  1.143580E-21  2.792285E-19  1.536588E-15
    152  5.293536770993E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.886845E-28  9.210674E-22  2.290662E-19  1.309734E-15
    153  5.310288915571E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.510495E-28  7.505077E-22  1.897448E-19  1.126543E-15
    154  5.325369291828E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.259688E-28  6.286280E-22  1.610905E-19  9.896848E-16
    155  5.339308966526E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.085367E-28  5.376907E-22  1.393623E-19  8.838930E-16
    156  5.362726198018E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.885010E-28  4.218263E-22  1.111981E-19  7.443282E-16
    157  5.383816121000E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.774797E-28  3.471678E-22  9.276917E-20  6.521944E-16
    158  5.403768730975E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.711513E-28  2.952061E-22  7.985013E-20  5.881931E-16
    159  5.422986619970E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.675466E-28  2.576032E-22  7.050528E-20  5.432577E-16
    160  5.440569294967E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.656206E-28  2.309498E-22  6.392775E-20  5.132213E-16
    161  5.456994612052E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.645507E-28  2.109488E-22  5.904643E-20  4.924723E-16
    162  5.485681963417E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.634351E-28  1.838822E-22  5.255610E-20  4.681969E-16
    163  5.511708850657E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.624354E-28  1.650299E-22  4.811608E-20  4.545496E-16
    164  5.536560227933E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.609275E-28  1.502494E-22  4.465117E-20  4.455675E-16
    165  5.559867087093E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.587227E-28  1.383347E-22  4.183038E-20  4.388609E-16
    166  5.582344501454E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.557521E-28  1.281333E-22  3.936430E-20  4.329374E-16
    167  5.608267729631E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.512117E-28  1.176004E-22  3.674042E-20  4.260033E-16
    168  5.632179590432E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.459826E-28  1.088437E-22  3.448132E-20  4.191252E-16
    169  5.658568452696E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.391492E-28  1.000844E-22  3.213910E-20  4.108293E-16
    170  5.682194908758E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.321997E-28  9.294931E-23  3.016479E-20  4.027669E-16
    171  5.707748662895E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.239329E-28  8.590378E-23  2.815364E-20  3.934430E-16
    172  5.730159219632E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.161467E-28  8.024588E-23  2.649288E-20  3.848325E-16
    173  5.769211250520E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.016337E-28  7.142038E-23  2.381851E-20  3.690951E-16
    174  5.804755660481E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.876383E-28  6.439663E-23  2.161429E-20  3.542204E-16
    175  5.837706807704E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.741790E-28  5.864064E-23  1.975640E-20  3.401687E-16
    176  5.868213309337E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.614226E-28  5.388137E-23  1.818393E-20  3.270656E-16
