 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ti46          ti47          ti48          ti49          ti50          ti51          ti52          ti53 
    138  5.067010535678E-02  2.043246E-17  6.925333E-15  9.701155E-12  5.937946E-10  1.889955E-07  3.010391E-07  6.567544E-07  1.406902E-07
    139  5.082726902819E-02  1.855657E-17  6.443220E-15  9.300063E-12  5.824887E-10  1.911070E-07  3.095580E-07  6.892680E-07  1.498355E-07
    140  5.098506829486E-02  1.679118E-17  5.974063E-15  8.887586E-12  5.696812E-10  1.926973E-07  3.174516E-07  7.215064E-07  1.591728E-07
    141  5.114361869269E-02  1.513289E-17  5.518228E-15  8.464198E-12  5.553224E-10  1.937019E-07  3.245784E-07  7.531066E-07  1.686277E-07
    142  5.130328078870E-02  1.357597E-17  5.075381E-15  8.029709E-12  5.393350E-10  1.940495E-07  3.307858E-07  7.836749E-07  1.781181E-07
    143  5.146205644840E-02  1.213599E-17  4.651463E-15  7.590526E-12  5.219039E-10  1.936696E-07  3.358275E-07  8.123109E-07  1.873997E-07
    144  5.162089365231E-02  1.079940E-17  4.244162E-15  7.145180E-12  5.029362E-10  1.925011E-07  3.395658E-07  8.386211E-07  1.963813E-07
    145  5.177902725711E-02  9.568009E-18  3.855688E-15  6.697110E-12  4.825479E-10  1.904929E-07  3.418106E-07  8.618632E-07  2.048532E-07
    146  5.193558292952E-02  8.437654E-18  3.486402E-15  6.248214E-12  4.607935E-10  1.876047E-07  3.423837E-07  8.812862E-07  2.125889E-07
    147  5.207655208218E-02  7.496865E-18  3.168737E-15  5.842506E-12  4.400108E-10  1.842097E-07  3.413689E-07  8.951672E-07  2.188354E-07
    148  5.220437120847E-02  6.705700E-18  2.893523E-15  5.475100E-12  4.202739E-10  1.804626E-07  3.391018E-07  9.043657E-07  2.237766E-07
    149  5.240275279905E-02  5.590210E-18  2.491289E-15  4.908886E-12  3.881427E-10  1.733685E-07  3.328825E-07  9.113968E-07  2.298010E-07
    150  5.258707116153E-02  4.671289E-18  2.145626E-15  4.391486E-12  3.569447E-10  1.653997E-07  3.240307E-07  9.091131E-07  2.332765E-07
    151  5.276353482958E-02  3.892859E-18  1.840935E-15  3.908702E-12  3.262229E-10  1.565897E-07  3.127445E-07  8.982627E-07  2.343985E-07
    152  5.293536770993E-02  3.225651E-18  1.569626E-15  3.454991E-12  2.958965E-10  1.470071E-07  2.991815E-07  8.791864E-07  2.332125E-07
    153  5.310288915571E-02  2.657006E-18  1.329713E-15  3.032559E-12  2.663493E-10  1.368545E-07  2.836839E-07  8.524725E-07  2.297755E-07
    154  5.325369291828E-02  2.210409E-18  1.134703E-15  2.672487E-12  2.401209E-10  1.271796E-07  2.680327E-07  8.218249E-07  2.247355E-07
