 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ge72          ge73          ge74          ge75          ge76          ge77          ge78          ge79 
    164  5.536560227933E-02  9.354513E-14  2.691322E-12  2.401000E-10  2.187369E-09  6.022194E-08  1.562285E-07  1.431814E-06  1.257581E-06
    165  5.559867087093E-02  8.269076E-14  2.451202E-12  2.283391E-10  2.139681E-09  6.131884E-08  1.632404E-07  1.551668E-06  1.396057E-06
    166  5.582344501454E-02  7.239610E-14  2.208994E-12  2.145914E-10  2.066434E-09  6.156741E-08  1.680533E-07  1.654887E-06  1.524003E-06
    167  5.608267729631E-02  6.115956E-14  1.929569E-12  1.967702E-10  1.955502E-09  6.094324E-08  1.712316E-07  1.756559E-06  1.661780E-06
    168  5.632179590432E-02  5.166448E-14  1.681157E-12  1.793076E-10  1.834656E-09  5.960564E-08  1.720138E-07  1.832572E-06  1.777399E-06
    169  5.658568452696E-02  4.232540E-14  1.425151E-12  1.597389E-10  1.687984E-09  5.742290E-08  1.706934E-07  1.896172E-06  1.890450E-06
    170  5.682194908758E-02  3.503460E-14  1.216395E-12  1.425497E-10  1.550558E-09  5.497123E-08  1.678056E-07  1.935380E-06  1.977841E-06
    171  5.707748662895E-02  2.827119E-14  1.014737E-12  1.247966E-10  1.400695E-09  5.193073E-08  1.631578E-07  1.959908E-06  2.057326E-06
    172  5.730159219632E-02  2.324335E-14  8.589950E-13  1.102187E-10  1.271646E-09  4.903716E-08  1.580191E-07  1.967277E-06  2.114304E-06
    173  5.769211250520E-02  1.626785E-14  6.326953E-13  8.743593E-11  1.058592E-09  4.372957E-08  1.472986E-07  1.952182E-06  2.186343E-06
    174  5.804755660481E-02  1.157682E-14  4.717621E-13  6.978582E-11  8.829534E-10  3.884808E-08  1.362648E-07  1.912380E-06  2.223984E-06
    175  5.837706807704E-02  8.355441E-15  3.555920E-13  5.603710E-11  7.386515E-10  3.446210E-08  1.255227E-07  1.857993E-06  2.237796E-06
    176  5.868213309337E-02  6.128753E-15  2.715514E-13  4.538186E-11  6.213949E-10  3.061367E-08  1.154777E-07  1.795960E-06  2.234640E-06
