 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                fe60          fe61          fe62          fe63          fe64          fe65          fe66          fe67 
    130  4.938368810460E-02  4.480756E-08  1.556122E-08  2.508885E-08  2.985609E-09  6.698238E-10  4.443752E-11  8.467624E-12  4.684800E-13
    131  4.955132280349E-02  5.074331E-08  1.788356E-08  2.952473E-08  3.554492E-09  8.141063E-10  5.460486E-11  1.062292E-11  5.941101E-13
    132  4.971624312404E-02  5.720297E-08  2.045440E-08  3.456709E-08  4.209434E-09  9.839646E-10  6.671423E-11  1.324663E-11  7.487762E-13
    133  4.987811857735E-02  6.418547E-08  2.328062E-08  4.025719E-08  4.957842E-09  1.182383E-09  8.102223E-11  1.641426E-11  9.375859E-13
    134  5.003799836445E-02  7.175499E-08  2.639600E-08  4.669500E-08  5.815118E-09  1.414657E-09  9.796086E-11  2.024484E-11  1.168414E-12
    135  5.019682549602E-02  7.997003E-08  2.983416E-08  5.398608E-08  6.798100E-09  1.686831E-09  1.180329E-10  2.488122E-11  1.450850E-12
    136  5.035511419132E-02  8.887890E-08  3.362617E-08  6.223911E-08  7.924663E-09  2.005610E-09  1.418070E-10  3.049032E-11  1.796268E-12
    137  5.051299755300E-02  9.850853E-08  3.779564E-08  7.155423E-08  9.212182E-09  2.377978E-09  1.698914E-10  3.725869E-11  2.217629E-12
    138  5.067010535678E-02  1.088446E-07  4.234929E-08  8.200004E-08  1.067426E-08  2.810217E-09  2.028609E-10  4.537557E-11  2.728467E-12
    139  5.082726902819E-02  1.199412E-07  4.732527E-08  9.372453E-08  1.233631E-08  3.312582E-09  2.416165E-10  5.512369E-11  3.348707E-12
    140  5.098506829486E-02  1.318328E-07  5.275587E-08  1.068752E-07  1.422484E-08  3.896386E-09  2.871747E-10  6.683417E-11  4.102065E-12
    141  5.114361869269E-02  1.445062E-07  5.865405E-08  1.215659E-07  1.636265E-08  4.572589E-09  3.405626E-10  8.086286E-11  5.014699E-12
    142  5.130328078870E-02  1.579449E-07  6.503350E-08  1.379248E-07  1.877590E-08  5.354067E-09  4.030008E-10  9.764206E-11  6.118729E-12
    143  5.146205644840E-02  1.718932E-07  7.179398E-08  1.557915E-07  2.144875E-08  6.240660E-09  4.747002E-10  1.173542E-10  7.430733E-12
    144  5.162089365231E-02  1.863047E-07  7.893429E-08  1.752630E-07  2.440399E-08  7.245327E-09  5.569551E-10  1.404977E-10  8.989134E-12
    145  5.177902725711E-02  2.009423E-07  8.635966E-08  1.961891E-07  2.762781E-08  8.369376E-09  6.501494E-10  1.673444E-10  1.081834E-11
    146  5.193558292952E-02  2.155261E-07  9.394844E-08  2.183368E-07  3.109291E-08  9.609387E-09  7.542820E-10  1.980690E-10  1.293684E-11
    147  5.207655208218E-02  2.285242E-07  1.008952E-07  2.393394E-07  3.442991E-08  1.083452E-08  8.584592E-10  2.295291E-10  1.513113E-11
    148  5.220437120847E-02  2.400166E-07  1.072059E-07  2.590889E-07  3.761454E-08  1.203239E-08  9.615168E-10  2.613316E-10  1.737303E-11
    149  5.240275279905E-02  2.568721E-07  1.168239E-07  2.906230E-07  4.279911E-08  1.404452E-08  1.137239E-09  3.170673E-10  2.135524E-11
    150  5.258707116153E-02  2.708963E-07  1.252903E-07  3.201958E-07  4.778538E-08  1.605792E-08  1.316365E-09  3.758263E-10  2.562232E-11
    151  5.276353482958E-02  2.822644E-07  1.326705E-07  3.479298E-07  5.259112E-08  1.808059E-08  1.499752E-09  4.380499E-10  3.021442E-11
