 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                si28          si29          si30          si31          si32          si33          si34          si35 
    117  4.721637454993E-02  3.796485E-15  1.235735E-13  4.145915E-11  7.483338E-11  9.208703E-10  3.277680E-11  1.592136E-11  2.175666E-14
    118  4.732862910872E-02  3.399691E-15  1.114417E-13  3.798965E-11  6.939556E-11  8.687232E-10  3.115382E-11  1.534167E-11  2.102932E-14
    119  4.750539400184E-02  2.846543E-15  9.434068E-14  3.299080E-11  6.141173E-11  7.898878E-10  2.866460E-11  1.442556E-11  1.987022E-14
    120  4.767210524850E-02  2.399077E-15  8.029975E-14  2.877405E-11  5.452548E-11  7.195197E-10  2.640547E-11  1.356526E-11  1.877161E-14
    121  4.783406579930E-02  2.026529E-15  6.842340E-14  2.511139E-11  4.841763E-11  6.550740E-10  2.430448E-11  1.273982E-11  1.770881E-14
    122  4.799263518131E-02  1.714686E-15  5.831375E-14  2.190993E-11  4.296999E-11  5.958023E-10  2.234371E-11  1.194647E-11  1.667950E-14
    123  4.815339657435E-02  1.444991E-15  4.941056E-14  1.901413E-11  3.794185E-11  5.394095E-10  2.045068E-11  1.115802E-11  1.564877E-14
    124  4.832264594384E-02  1.206855E-15  4.138958E-14  1.632990E-11  3.318603E-11  4.844170E-10  1.857833E-11  1.035586E-11  1.459280E-14
    125  4.849826454798E-02  1.002625E-15  3.435360E-14  1.390284E-11  2.879511E-11  4.320204E-10  1.676837E-11  9.557853E-12  1.353494E-14
    126  4.867786870736E-02  8.321834E-16  2.833225E-14  1.175859E-11  2.483232E-11  3.831933E-10  1.505688E-11  8.781157E-12  1.249819E-14
    127  4.885872256535E-02  6.935591E-16  2.329698E-14  9.905441E-12  2.133323E-11  3.386698E-10  1.347331E-11  8.041581E-12  1.150426E-14
    128  4.903755607841E-02  5.836207E-16  1.917990E-14  8.338457E-12  1.831087E-11  2.989680E-10  1.204082E-11  7.353436E-12  1.057334E-14
    129  4.921259737621E-02  4.976816E-16  1.585190E-14  7.028238E-12  1.573059E-11  2.640018E-10  1.076144E-11  6.721798E-12  9.713405E-15
    130  4.938368810460E-02  4.308242E-16  1.316494E-14  5.933878E-12  1.353125E-11  2.332814E-10  9.622084E-12  6.144189E-12  8.922215E-15
    131  4.955132280349E-02  3.789143E-16  1.098952E-14  5.017036E-12  1.165185E-11  2.062434E-10  8.606003E-12  5.615655E-12  8.193963E-15
    132  4.971624312404E-02  3.387131E-16  9.221306E-15  4.245473E-12  1.003930E-11  1.823638E-10  7.696995E-12  5.130795E-12  7.522046E-15
    133  4.987811857735E-02  3.079365E-16  7.787856E-15  3.597362E-12  8.658760E-12  1.613317E-10  6.886223E-12  4.687574E-12  6.904383E-15
    134  5.003799836445E-02  2.844575E-16  6.614719E-15  3.047225E-12  7.464365E-12  1.426172E-10  6.155496E-12  4.278181E-12  6.330557E-15
    135  5.019682549602E-02  2.668949E-16  5.655622E-15  2.579753E-12  6.430444E-12  1.259615E-10  5.497131E-12  3.900395E-12  5.798153E-15
