 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                y87           y88           y89           y90           y91           y92           y93           y94  
    111  4.641297951594E-02  6.383796E-27  1.326614E-24  2.399131E-22  1.233947E-21  2.389290E-21  1.002094E-21  2.618562E-21  1.119737E-21
    112  4.656990459822E-02  1.058006E-26  2.247517E-24  4.185750E-22  2.188231E-21  4.320040E-21  1.842735E-21  4.899695E-21  2.132006E-21
    113  4.671253119976E-02  1.639608E-26  3.554553E-24  6.800592E-22  3.608463E-21  7.250764E-21  3.140770E-21  8.484114E-21  3.750643E-21
    114  4.684580987606E-02  2.426477E-26  5.362833E-24  1.052349E-21  5.662254E-21  1.156723E-20  5.083164E-21  1.393554E-20  6.252589E-21
    115  4.697520204195E-02  3.496617E-26  7.875903E-24  1.584233E-21  8.640634E-21  1.793782E-20  7.993879E-21  2.223240E-20  1.012001E-20
    116  4.709649788536E-02  4.862234E-26  1.115042E-23  2.295857E-21  1.268277E-20  2.672980E-20  1.206968E-20  3.402331E-20  1.569798E-20
    117  4.721637454993E-02  6.659077E-26  1.554737E-23  3.276270E-21  1.832916E-20  3.921192E-20  1.793804E-20  5.124440E-20  2.396220E-20
    118  4.732862910872E-02  8.854276E-26  2.102559E-23  4.528349E-21  2.563644E-20  5.561895E-20  2.575638E-20  7.450422E-20  3.527842E-20
    119  4.750539400184E-02  1.363053E-25  3.325003E-23  7.412440E-21  4.275752E-20  9.483663E-20  4.477122E-20  1.320782E-19  6.378697E-20
    120  4.767210524850E-02  2.012138E-25  5.035974E-23  1.160072E-20  6.811580E-20  1.542799E-19  7.417548E-20  2.229358E-19  1.097010E-19
    121  4.783406579930E-02  2.895099E-25  7.430214E-23  1.767204E-20  1.055741E-19  2.440468E-19  1.194380E-19  3.655322E-19  1.831754E-19
    122  4.799263518131E-02  4.082837E-25  1.074149E-22  2.636385E-20  1.601946E-19  3.777895E-19  1.881443E-19  5.861106E-19  2.990029E-19
    123  4.815339657435E-02  5.719977E-25  1.543499E-22  3.912096E-20  2.418456E-19  5.820604E-19  2.950541E-19  9.358625E-19  4.861622E-19
    124  4.832264594384E-02  8.069006E-25  2.236630E-22  5.864815E-20  3.692224E-19  9.078932E-19  4.689093E-19  1.515816E-18  8.026413E-19
    125  4.849826454798E-02  1.140989E-24  3.252553E-22  8.835961E-20  5.669028E-19  1.425427E-18  7.506642E-19  2.474979E-18  1.336841E-18
    126  4.867786870736E-02  1.610054E-24  4.723806E-22  1.330741E-19  8.705107E-19  2.239455E-18  1.203102E-18  4.047630E-18  2.231273E-18
    127  4.885872256535E-02  2.256779E-24  6.817030E-22  1.992183E-19  1.328959E-18  3.498672E-18  1.917802E-18  6.584838E-18  3.705236E-18
    128  4.903755607841E-02  3.125981E-24  9.719837E-22  2.945736E-19  2.003549E-18  5.396652E-18  3.017783E-18  1.057261E-17  6.071338E-18
    129  4.921259737621E-02  4.269794E-24  1.365927E-21  4.290133E-19  2.973981E-18  8.192322E-18  4.671648E-18  1.669325E-17  9.779140E-18
    130  4.938368810460E-02  5.755298E-24  1.893217E-21  6.158030E-19  4.349108E-18  1.224659E-17  7.118795E-18  2.593411E-17  1.549199E-17
    131  4.955132280349E-02  7.668308E-24  2.592616E-21  8.727851E-19  6.277815E-18  1.806334E-17  1.069965E-17  3.972553E-17  2.418941E-17
