 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                v50           v51           v52           v53           v54           v55           v56           v57  
    113  4.671253119976E-02  1.262920E-12  6.233318E-10  3.147167E-09  1.676343E-08  3.793313E-09  3.534342E-09  1.287820E-10  1.388467E-11
    114  4.684580987606E-02  1.336525E-12  6.724300E-10  3.448546E-09  1.871200E-08  4.285421E-09  4.058767E-09  1.493108E-10  1.631265E-11
    115  4.697520204195E-02  1.404236E-12  7.202100E-10  3.750212E-09  2.071904E-08  4.800858E-09  4.619940E-09  1.715418E-10  1.898449E-11
    116  4.709649788536E-02  1.463893E-12  7.648411E-10  4.039955E-09  2.270122E-08  5.318211E-09  5.194915E-09  1.945818E-10  2.179641E-11
    117  4.721637454993E-02  1.518888E-12  8.085803E-10  4.331893E-09  2.475373E-08  5.862425E-09  5.811932E-09  2.195818E-10  2.489316E-11
    118  4.732862910872E-02  1.566598E-12  8.490377E-10  4.609470E-09  2.675810E-08  6.402054E-09  6.435661E-09  2.451250E-10  2.810274E-11
    119  4.750539400184E-02  1.633964E-12  9.114267E-10  5.053063E-09  3.007211E-08  7.311682E-09  7.512929E-09  2.898390E-10  3.382323E-11
    120  4.767210524850E-02  1.688615E-12  9.684463E-10  5.476708E-09  3.336908E-08  8.237634E-09  8.641464E-09  3.374286E-10  4.004182E-11
    121  4.783406579930E-02  1.733403E-12  1.021847E-09  5.891367E-09  3.672753E-08  9.201990E-09  9.849667E-09  3.891568E-10  4.693940E-11
    122  4.799263518131E-02  1.769386E-12  1.071995E-09  6.298753E-09  4.016066E-08  1.020945E-08  1.114635E-08  4.454999E-10  5.460190E-11
    123  4.815339657435E-02  1.797877E-12  1.120448E-09  6.711664E-09  4.378543E-08  1.129659E-08  1.258383E-08  5.088855E-10  6.339275E-11
    124  4.832264594384E-02  1.819863E-12  1.168806E-09  7.145293E-09  4.775560E-08  1.251446E-08  1.423946E-08  5.830062E-10  7.388229E-11
    125  4.849826454798E-02  1.834428E-12  1.215976E-09  7.592679E-09  5.203863E-08  1.385973E-08  1.612198E-08  6.686285E-10  8.625744E-11
    126  4.867786870736E-02  1.841150E-12  1.260932E-09  8.046068E-09  5.658684E-08  1.532365E-08  1.823248E-08  7.661940E-10  1.006672E-10
    127  4.885872256535E-02  1.840117E-12  1.302741E-09  8.496852E-09  6.133305E-08  1.688988E-08  2.055979E-08  8.755709E-10  1.171794E-10
    128  4.903755607841E-02  1.831937E-12  1.340572E-09  8.935345E-09  6.618367E-08  1.853120E-08  2.307350E-08  9.956673E-10  1.357104E-10
    129  4.921259737621E-02  1.817529E-12  1.374122E-09  9.355930E-09  7.107470E-08  2.022792E-08  2.575075E-08  1.125667E-09  1.562054E-10
    130  4.938368810460E-02  1.797758E-12  1.403492E-09  9.757099E-09  7.598205E-08  2.197285E-08  2.858607E-08  1.265549E-09  1.787280E-10
    131  4.955132280349E-02  1.773308E-12  1.428878E-09  1.013886E-08  8.089928E-08  2.376478E-08  3.158335E-08  1.415754E-09  2.034184E-10
    132  4.971624312404E-02  1.744668E-12  1.450460E-09  1.050159E-08  8.582716E-08  2.560541E-08  3.475196E-08  1.577020E-09  2.304741E-10
    133  4.987811857735E-02  1.712407E-12  1.468240E-09  1.084316E-08  9.073325E-08  2.748406E-08  3.808023E-08  1.749035E-09  2.599226E-10
    134  5.003799836445E-02  1.676367E-12  1.482196E-09  1.116342E-08  9.562465E-08  2.940543E-08  4.158472E-08  1.932948E-09  2.920474E-10
    135  5.019682549602E-02  1.637021E-12  1.492497E-09  1.146302E-08  1.005050E-07  3.137324E-08  4.528052E-08  2.129912E-09  3.271516E-10
    136  5.035511419132E-02  1.594515E-12  1.499070E-09  1.174052E-08  1.053603E-07  3.338514E-08  4.917415E-08  2.340689E-09  3.654894E-10
    137  5.051299755300E-02  1.549010E-12  1.501762E-09  1.199331E-08  1.101594E-07  3.543229E-08  5.326072E-08  2.565474E-09  4.072280E-10
    138  5.067010535678E-02  1.500795E-12  1.500402E-09  1.221774E-08  1.148509E-07  3.749677E-08  5.751717E-08  2.803475E-09  4.523597E-10
    139  5.082726902819E-02  1.449773E-12  1.494788E-09  1.241151E-08  1.194125E-07  3.957368E-08  6.194753E-08  3.055439E-09  5.011804E-10
    140  5.098506829486E-02  1.395866E-12  1.484633E-09  1.257113E-08  1.238051E-07  4.165158E-08  6.654470E-08  3.321579E-09  5.539116E-10
    141  5.114361869269E-02  1.339128E-12  1.469622E-09  1.269187E-08  1.279658E-07  4.370863E-08  7.128049E-08  3.600961E-09  6.105726E-10
    142  5.130328078870E-02  1.279522E-12  1.449385E-09  1.276858E-08  1.318267E-07  4.572105E-08  7.612349E-08  3.892512E-09  6.711758E-10
    143  5.146205644840E-02  1.217940E-12  1.423924E-09  1.279529E-08  1.352581E-07  4.763122E-08  8.095775E-08  4.190004E-09  7.346516E-10
    144  5.162089365231E-02  1.154207E-12  1.392915E-09  1.276762E-08  1.381962E-07  4.941468E-08  8.574432E-08  4.491780E-09  8.008709E-10
    145  5.177902725711E-02  1.088851E-12  1.356371E-09  1.268124E-08  1.405378E-07  5.102321E-08  9.038058E-08  4.792172E-09  8.688301E-10
    146  5.193558292952E-02  1.022260E-12  1.314331E-09  1.253224E-08  1.421828E-07  5.240677E-08  9.475236E-08  5.084528E-09  9.372517E-10
    147  5.207655208218E-02  9.611321E-13  1.271594E-09  1.234177E-08  1.430173E-07  5.343821E-08  9.841880E-08  5.338654E-09  9.989267E-10
    148  5.220437120847E-02  9.050243E-13  1.228935E-09  1.212144E-08  1.431901E-07  5.416962E-08  1.014537E-07  5.557556E-09  1.054108E-09
    149  5.240275279905E-02  8.172242E-13  1.155658E-09  1.168783E-08  1.422574E-07  5.486365E-08  1.054688E-07  5.866355E-09  1.136426E-09
    150  5.258707116153E-02  7.356416E-13  1.080462E-09  1.118510E-08  1.399797E-07  5.496250E-08  1.082562E-07  6.107613E-09  1.206671E-09
    151  5.276353482958E-02  6.584144E-13  1.002943E-09  1.061742E-08  1.364693E-07  5.451450E-08  1.099042E-07  6.285742E-09  1.265524E-09
    152  5.293536770993E-02  5.849113E-13  9.233434E-10  9.990337E-09  1.317960E-07  5.353948E-08  1.104190E-07  6.399804E-09  1.312434E-09
    153  5.310288915571E-02  5.157035E-13  8.430595E-10  9.318108E-09  1.260934E-07  5.207047E-08  1.097992E-07  6.447191E-09  1.346155E-09
    154  5.325369291828E-02  4.561451E-13  7.696572E-10  8.671771E-09  1.200678E-07  5.032135E-08  1.082550E-07  6.431493E-09  1.364835E-09
    155  5.339308966526E-02  4.038970E-13  7.018122E-10  8.049211E-09  1.138381E-07  4.836873E-08  1.059994E-07  6.366250E-09  1.371433E-09
    156  5.362726198018E-02  3.232536E-13  5.902688E-10  6.975592E-09  1.022414E-07  4.445523E-08  1.005061E-07  6.147623E-09  1.358204E-09
    157  5.383816121000E-02  2.591352E-13  4.950292E-10  6.010413E-09  9.098609E-08  4.039460E-08  9.393467E-08  5.841362E-09  1.320363E-09
    158  5.403768730975E-02  2.064549E-13  4.117474E-10  5.129203E-09  8.006485E-08  3.625590E-08  8.659393E-08  5.469891E-09  1.263474E-09
    159  5.422986619970E-02  1.632000E-13  3.393447E-10  4.333304E-09  6.967420E-08  3.215902E-08  7.881645E-08  5.054507E-09  1.192209E-09
    160  5.440569294967E-02  1.298320E-13  2.805140E-10  3.664306E-09  6.053814E-08  2.843556E-08  7.135786E-08  4.640077E-09  1.115638E-09
    161  5.456994612052E-02  1.036613E-13  2.321662E-10  3.097868E-09  5.249630E-08  2.506561E-08  6.430821E-08  4.236305E-09  1.036998E-09
    162  5.485681963417E-02  6.821413E-14  1.626970E-10  2.253098E-09  3.991424E-08  1.961211E-08  5.229961E-08  3.524265E-09  8.901469E-10
    163  5.511708850657E-02  4.545350E-14  1.147972E-10  1.644464E-09  3.033407E-08  1.529941E-08  4.226235E-08  2.907462E-09  7.556623E-10
    164  5.536560227933E-02  3.018694E-14  8.051749E-11  1.191367E-09  2.284329E-08  1.181346E-08  3.375376E-08  2.368680E-09  6.327592E-10
    165  5.559867087093E-02  2.020094E-14  5.670577E-11  8.649533E-10  1.719841E-08  9.105922E-09  2.685577E-08  1.920083E-09  5.263045E-10
    166  5.582344501454E-02  1.349479E-14  3.979498E-11  6.251601E-10  1.287629E-08  6.974576E-09  2.121119E-08  1.544129E-09  4.339344E-10
    167  5.608267729631E-02  8.331205E-15  2.599949E-11  4.225958E-10  9.066198E-09  5.041881E-09  1.588755E-08  1.180963E-09  3.415765E-10
    168  5.632179590432E-02  5.262590E-15  1.730083E-11  2.902087E-10  6.465078E-09  3.684045E-09  1.199628E-08  9.090969E-10  2.700459E-10
    169  5.658568452696E-02  3.126051E-15  1.088105E-11  1.889905E-10  4.389274E-09  2.569538E-09  8.676507E-09  6.717176E-10  2.055035E-10
    170  5.682194908758E-02  1.939588E-15  7.104221E-12  1.273082E-10  3.069255E-09  1.840808E-09  6.421664E-09  5.067818E-10  1.592027E-10
    171  5.707748662895E-02  1.146141E-15  4.434989E-12  8.221510E-11  2.064057E-09  1.270890E-09  4.592990E-09  3.700937E-10  1.196505E-10
    172  5.730159219632E-02  7.175440E-16  2.913004E-12  5.563254E-11  1.447261E-09  9.119304E-10  3.399634E-09  2.789960E-10  9.250485E-11
    173  5.769211250520E-02  3.135849E-16  1.383145E-12  2.782428E-11  7.701803E-10  5.052314E-10  1.988025E-09  1.684254E-10  5.834481E-11
    174  5.804755660481E-02  1.462854E-16  6.956293E-13  1.467733E-11  4.301326E-10  2.928117E-10  1.211000E-09  1.056507E-10  3.810781E-11
    175  5.837706807704E-02  7.226253E-17  3.679039E-13  8.114550E-12  2.507520E-10  1.766873E-10  7.654428E-10  6.863534E-11  2.571180E-11
    176  5.868213309337E-02  3.797694E-17  2.054819E-13  4.722479E-12  1.532728E-10  1.115090E-10  5.042686E-10  4.637804E-11  1.799202E-11
