 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cl29          cl30          cl31          cl32          cl33          cl34          cl35          cl36 
    101  4.430336182063E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.598940E-30  3.169583E-23  1.887809E-19  1.531759E-15  4.751476E-14
    102  4.453208602613E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.031236E-30  3.007345E-23  1.844042E-19  1.562879E-15  4.683364E-14
    103  4.474836808964E-02  1.000000E-30  1.000000E-30  1.000000E-30  5.510242E-30  2.837556E-23  1.786266E-19  1.578898E-15  4.606077E-14
    104  4.497736119052E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.972158E-30  2.641150E-23  1.707686E-19  1.579395E-15  4.507285E-14
    105  4.517199675598E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.522925E-30  2.461662E-23  1.627208E-19  1.564961E-15  4.406405E-14
    106  4.536038532241E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.093310E-30  2.278281E-23  1.538179E-19  1.537120E-15  4.291106E-14
    107  4.552484255766E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.722399E-30  2.111938E-23  1.452505E-19  1.501413E-15  4.174575E-14
    108  4.581275722245E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.087048E-30  1.812467E-23  1.288536E-19  1.414199E-15  3.932233E-14
    109  4.603616864208E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.615003E-30  1.579542E-23  1.153489E-19  1.326999E-15  3.710806E-14
    110  4.624194314299E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.202482E-30  1.369517E-23  1.026425E-19  1.233746E-15  3.481636E-14
    111  4.641297951594E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.885022E-30  1.203022E-23  9.222042E-20  1.149931E-15  3.277605E-14
    112  4.656990459822E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.617580E-30  1.058942E-23  8.293896E-20  1.069845E-15  3.082420E-14
    113  4.671253119976E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.396004E-30  9.364723E-24  7.484294E-20  9.957617E-16  2.900731E-14
    114  4.684580987606E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.208190E-30  8.300672E-24  6.763987E-20  9.264468E-16  2.729205E-14
    115  4.697520204195E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.043750E-30  7.345921E-24  6.102876E-20  8.598883E-16  2.562731E-14
    116  4.709649788536E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.522492E-24  5.520189E-20  7.987648E-16  2.408059E-14
    117  4.721637454993E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.776713E-24  4.981256E-20  7.400464E-16  2.257636E-14
    118  4.732862910872E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.138582E-24  4.510639E-20  6.869297E-16  2.119839E-14
    119  4.750539400184E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.247170E-24  3.836387E-20  6.075539E-16  1.910495E-14
    120  4.767210524850E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.525957E-24  3.273928E-20  5.380256E-16  1.723317E-14
    121  4.783406579930E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.926639E-24  2.792522E-20  4.757613E-16  1.552244E-14
    122  4.799263518131E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.426650E-24  2.379041E-20  4.199218E-16  1.395671E-14
    123  4.815339657435E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.996267E-24  2.012486E-20  3.682588E-16  1.247814E-14
    124  4.832264594384E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.618045E-24  1.680422E-20  3.194171E-16  1.104950E-14
    125  4.849826454798E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.295298E-24  1.387865E-20  2.744529E-16  9.703564E-15
    126  4.867786870736E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027219E-24  1.136671E-20  2.340802E-16  8.465646E-15
    127  4.885872256535E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.099871E-25  9.261097E-21  1.986825E-16  7.353181E-15
    128  4.903755607841E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.380097E-25  7.536439E-21  1.683696E-16  6.376582E-15
    129  4.921259737621E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.034165E-25  6.140451E-21  1.427420E-16  5.530363E-15
    130  4.938368810460E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.981591E-25  5.011962E-21  1.211285E-16  4.799187E-15
    131  4.955132280349E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.155558E-25  4.097026E-21  1.028658E-16  4.166451E-15
    132  4.971624312404E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.504162E-25  3.351961E-21  8.737958E-17  3.617124E-15
    133  4.987811857735E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.991233E-25  2.746357E-21  7.428210E-17  3.141591E-15
    134  5.003799836445E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.583182E-25  2.249083E-21  6.309328E-17  2.726002E-15
    135  5.019682549602E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.258081E-25  1.840307E-21  5.353223E-17  2.362599E-15
    136  5.035511419132E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  9.987098E-26  1.503825E-21  4.535286E-17  2.044448E-15
    137  5.051299755300E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.919662E-26  1.227095E-21  3.836250E-17  1.766174E-15
    138  5.067010535678E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.278085E-26  1.000387E-21  3.241216E-17  1.523740E-15
    139  5.082726902819E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.970028E-26  8.139948E-22  2.732940E-17  1.311776E-15
    140  5.098506829486E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.926753E-26  6.605802E-22  2.298255E-17  1.126198E-15
    141  5.114361869269E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.096797E-26  5.346048E-22  1.927313E-17  9.640397E-16
    142  5.130328078870E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.437498E-26  4.312845E-22  1.611078E-17  8.224499E-16
    143  5.146205644840E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.921643E-26  3.478127E-22  1.345514E-17  7.006548E-16
    144  5.162089365231E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.516336E-26  2.801004E-22  1.121630E-17  5.954777E-16
    145  5.177902725711E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.200069E-26  2.255535E-22  9.342344E-18  5.053020E-16
    146  5.193558292952E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  9.542187E-27  1.817843E-22  7.780211E-18  4.283397E-16
    147  5.207655208218E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.790994E-27  1.496595E-22  6.591966E-18  3.684613E-16
    148  5.220437120847E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.509567E-27  1.255165E-22  5.670100E-18  3.210507E-16
    149  5.240275279905E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.976698E-27  9.571689E-23  4.489019E-18  2.588256E-16
    150  5.258707116153E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.934963E-27  7.470618E-23  3.619290E-18  2.116924E-16
    151  5.276353482958E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.194954E-27  5.927240E-23  2.954802E-18  1.747389E-16
    152  5.293536770993E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.656283E-27  4.768522E-23  2.437680E-18  1.452851E-16
    153  5.310288915571E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.261548E-27  3.895058E-23  2.034982E-18  1.218401E-16
    154  5.325369291828E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.989987E-27  3.279224E-23  1.743077E-18  1.045206E-16
    155  5.339308966526E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.793361E-27  2.824252E-23  1.522574E-18  9.123409E-17
    156  5.362726198018E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.550120E-27  2.249267E-23  1.237535E-18  7.378378E-17
    157  5.383816121000E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.397016E-27  1.879908E-23  1.050873E-18  6.220820E-17
    158  5.403768730975E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.291087E-27  1.621398E-23  9.192199E-19  5.401464E-17
    159  5.422986619970E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.213641E-27  1.431833E-23  8.228724E-19  4.805041E-17
