 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                tc93          tc94          tc95          tc96          tc97          tc98          tc99          tc100
    152  5.293536770993E-02  1.000000E-30  1.000000E-30  9.652405E-30  4.568941E-28  2.732747E-26  3.491188E-25  8.881346E-24  3.508790E-23
    153  5.310288915571E-02  1.000000E-30  1.000000E-30  1.138347E-29  5.521630E-28  3.394032E-26  4.429262E-25  1.157270E-23  4.662353E-23
    154  5.325369291828E-02  1.000000E-30  1.000000E-30  1.306237E-29  6.477397E-28  4.081047E-26  5.429213E-25  1.453189E-23  5.958882E-23
    155  5.339308966526E-02  1.000000E-30  1.000000E-30  1.469526E-29  7.437442E-28  4.794138E-26  6.492237E-25  1.776932E-23  7.406368E-23
    156  5.362726198018E-02  1.000000E-30  1.000000E-30  1.754174E-29  9.187960E-28  6.153901E-26  8.586169E-25  2.440048E-23  1.045438E-22
    157  5.383816121000E-02  1.000000E-30  1.000000E-30  2.011253E-29  1.086781E-27  7.537211E-26  1.080476E-24  3.176645E-23  1.395196E-22
    158  5.403768730975E-02  1.000000E-30  1.000000E-30  2.244971E-29  1.249386E-27  8.955852E-26  1.317172E-24  3.999426E-23  1.798387E-22
    159  5.422986619970E-02  1.000000E-30  1.000000E-30  2.453488E-29  1.404827E-27  1.039599E-25  1.567229E-24  4.908958E-23  2.258000E-22
    160  5.440569294967E-02  1.000000E-30  1.000000E-30  2.624260E-29  1.542329E-27  1.175213E-25  1.812301E-24  5.840945E-23  2.743203E-22
    161  5.456994612052E-02  1.000000E-30  1.000000E-30  2.763485E-29  1.664266E-27  1.303278E-25  2.052848E-24  6.795190E-23  3.254077E-22
    162  5.485681963417E-02  1.000000E-30  1.000000E-30  2.954811E-29  1.856937E-27  1.525275E-25  2.493207E-24  8.648007E-23  4.285240E-22
    163  5.511708850657E-02  1.000000E-30  1.000000E-30  3.069735E-29  2.005705E-27  1.720979E-25  2.909797E-24  1.053137E-22  5.382409E-22
    164  5.536560227933E-02  1.000000E-30  1.000000E-30  3.130704E-29  2.122933E-27  1.899131E-25  3.316421E-24  1.250181E-22  6.581720E-22
    165  5.559867087093E-02  1.000000E-30  1.000000E-30  3.148246E-29  2.210647E-27  2.056718E-25  3.702415E-24  1.450203E-22  7.850705E-22
    166  5.582344501454E-02  1.000000E-30  1.000000E-30  3.132264E-29  2.274908E-27  2.198442E-25  4.075502E-24  1.656647E-22  9.213308E-22
    167  5.608267729631E-02  1.000000E-30  1.000000E-30  3.079776E-29  2.325714E-27  2.348455E-25  4.503914E-24  1.911031E-22  1.096444E-21
    168  5.632179590432E-02  1.000000E-30  1.000000E-30  3.003742E-29  2.351530E-27  2.473042E-25  4.894185E-24  2.160728E-22  1.275959E-21
    169  5.658568452696E-02  1.000000E-30  1.000000E-30  2.894442E-29  2.358061E-27  2.593953E-25  5.314883E-24  2.451806E-22  1.494744E-21
    170  5.682194908758E-02  1.000000E-30  1.000000E-30  2.777854E-29  2.345410E-27  2.686337E-25  5.678504E-24  2.724925E-22  1.709474E-21
    171  5.707748662895E-02  1.000000E-30  1.000000E-30  2.636315E-29  2.313786E-27  2.768660E-25  6.053664E-24  3.031844E-22  1.961934E-21
