 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                c14           c15           c16           c17           c18           n11           n12           n13  
    149  5.240275279905E-02  1.994517E-10  4.937859E-22  3.047444E-25  5.647604E-30  1.000000E-30  1.815303E-27  1.829620E-29  4.915826E-18
    150  5.258707116153E-02  2.118790E-10  4.937601E-22  3.046923E-25  5.643866E-30  1.000000E-30  1.815303E-27  1.666395E-29  4.796069E-18
    151  5.276353482958E-02  2.242731E-10  4.937354E-22  3.046424E-25  5.640291E-30  1.000000E-30  1.815303E-27  1.519695E-29  4.681628E-18
    152  5.293536770993E-02  2.367977E-10  4.937114E-22  3.045938E-25  5.636811E-30  1.000000E-30  1.815303E-27  1.385551E-29  4.570351E-18
    153  5.310288915571E-02  2.494283E-10  4.936880E-22  3.045465E-25  5.633421E-30  1.000000E-30  1.815303E-27  1.262791E-29  4.461986E-18
    154  5.325369291828E-02  2.611340E-10  4.936670E-22  3.045038E-25  5.630370E-30  1.000000E-30  1.815303E-27  1.158854E-29  4.364556E-18
    155  5.339308966526E-02  2.722252E-10  4.936475E-22  3.044645E-25  5.627552E-30  1.000000E-30  1.815303E-27  1.068185E-29  4.274596E-18
    156  5.362726198018E-02  2.913773E-10  4.936148E-22  3.043983E-25  5.622822E-30  1.000000E-30  1.815303E-27  9.272391E-30  4.123830E-18
    157  5.383816121000E-02  3.091381E-10  4.935853E-22  3.043387E-25  5.618564E-30  1.000000E-30  1.815303E-27  8.119094E-30  3.988405E-18
    158  5.403768730975E-02  3.262861E-10  4.935574E-22  3.042824E-25  5.614540E-30  1.000000E-30  1.815303E-27  7.126596E-30  3.860965E-18
    159  5.422986619970E-02  3.429918E-10  4.935306E-22  3.042282E-25  5.610666E-30  1.000000E-30  1.815303E-27  6.259984E-30  3.739548E-18
    160  5.440569294967E-02  3.583318E-10  4.935060E-22  3.041785E-25  5.607124E-30  1.000000E-30  1.815303E-27  5.541190E-30  3.630104E-18
    161  5.456994612052E-02  3.726231E-10  4.934831E-22  3.041322E-25  5.603817E-30  1.000000E-30  1.815303E-27  4.931318E-30  3.529654E-18
    162  5.485681963417E-02  3.972113E-10  4.934430E-22  3.040512E-25  5.598047E-30  1.000000E-30  1.815303E-27  4.001147E-30  3.359591E-18
    163  5.511708850657E-02  4.187936E-10  4.934067E-22  3.039778E-25  5.592816E-30  1.000000E-30  1.815303E-27  3.294360E-30  3.212571E-18
    164  5.536560227933E-02  4.384616E-10  4.933720E-22  3.039077E-25  5.587827E-30  1.000000E-30  1.815303E-27  2.728441E-30  3.079720E-18
    165  5.559867087093E-02  4.558792E-10  4.933394E-22  3.038420E-25  5.583152E-30  1.000000E-30  1.815303E-27  2.282757E-30  2.962395E-18
    166  5.582344501454E-02  4.716492E-10  4.933080E-22  3.037786E-25  5.578646E-30  1.000000E-30  1.815303E-27  1.919911E-30  2.855714E-18
