 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                la133         la134         la135         la136         la137         la138         la139         la140
    119  4.750539400184E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.247807E-30  6.748029E-30  4.338366E-29  1.177054E-28  4.169363E-29
    120  4.767210524850E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.137063E-30  6.261970E-30  4.098267E-29  1.150235E-28  4.062278E-29
    121  4.783406579930E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.043070E-30  5.980880E-30  4.009109E-29  1.154257E-28  4.146579E-29
    122  4.799263518131E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.758891E-30  3.940141E-29  1.160131E-28  4.221476E-29
    123  4.815339657435E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.702729E-30  3.993562E-29  1.206978E-28  4.464476E-29
    124  4.832264594384E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.835007E-30  4.196073E-29  1.303091E-28  4.908689E-29
    125  4.849826454798E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.885036E-30  4.336125E-29  1.385446E-28  5.298922E-29
    126  4.867786870736E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.851692E-30  4.416833E-29  1.451371E-28  5.635235E-29
    127  4.885872256535E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.738583E-30  4.434181E-29  1.497217E-28  5.897780E-29
    128  4.903755607841E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.536116E-30  4.366970E-29  1.512130E-28  6.034934E-29
    129  4.921259737621E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.258930E-30  4.228909E-29  1.501354E-28  6.076137E-29
    130  4.938368810460E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.976460E-30  4.086617E-29  1.491232E-28  6.134362E-29
    131  4.955132280349E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.721444E-30  3.974230E-29  1.491414E-28  6.234330E-29
    132  4.971624312404E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.520437E-30  3.898513E-29  1.500942E-28  6.365073E-29
    133  4.987811857735E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.325804E-30  3.807825E-29  1.500387E-28  6.443976E-29
    134  5.003799836445E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.141225E-30  3.720861E-29  1.502890E-28  6.547206E-29
    135  5.019682549602E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.986004E-30  3.661095E-29  1.516839E-28  6.705031E-29
    136  5.035511419132E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.851929E-30  3.616906E-29  1.536488E-28  6.887389E-29
    137  5.051299755300E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.725100E-30  3.571862E-29  1.554018E-28  7.058372E-29
    138  5.067010535678E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.588577E-30  3.508746E-29  1.563091E-28  7.193122E-29
    139  5.082726902819E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.460404E-30  3.454006E-29  1.577990E-28  7.367539E-29
    140  5.098506829486E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.355184E-30  3.429019E-29  1.607312E-28  7.614161E-29
    141  5.114361869269E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.260015E-30  3.408296E-29  1.636921E-28  7.858306E-29
    142  5.130328078870E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.168223E-30  3.381648E-29  1.662664E-28  8.086880E-29
    143  5.146205644840E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.020729E-30  3.281191E-29  1.654129E-28  8.154715E-29
    144  5.162089365231E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.899018E-30  3.223625E-29  1.668773E-28  8.349469E-29
    145  5.177902725711E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.787079E-30  3.173366E-29  1.683838E-28  8.536380E-29
    146  5.193558292952E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.653992E-30  3.105034E-29  1.668325E-28  8.516357E-29
    147  5.207655208218E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.298104E-30  2.752035E-29  1.516400E-28  7.844453E-29
    148  5.220437120847E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.024464E-30  2.470985E-29  1.389722E-28  7.266366E-29
    149  5.240275279905E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.999146E-30  3.750142E-29  2.169575E-28  1.152609E-28
    150  5.258707116153E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.613005E-30  3.297776E-29  1.995896E-28  1.084647E-28
    151  5.276353482958E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.380431E-30  3.088498E-29  1.918385E-28  1.058048E-28
    152  5.293536770993E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.237935E-30  2.981247E-29  1.899031E-28  1.061457E-28
    153  5.310288915571E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.076984E-30  2.866739E-29  1.857758E-28  1.047607E-28
