 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ca41          ca42          ca43          ca44          ca45          ca46          ca47          ca48 
    131  4.955132280349E-02  1.840556E-19  1.880837E-16  1.300447E-14  4.601296E-12  8.846089E-11  6.991154E-09  7.021058E-08  2.637164E-06
    132  4.971624312404E-02  1.600415E-19  1.686361E-16  1.192563E-14  4.354151E-12  8.558777E-11  6.963186E-09  7.149948E-08  2.764228E-06
    133  4.987811857735E-02  1.392168E-19  1.511569E-16  1.092863E-14  4.115173E-12  8.267401E-11  6.920690E-09  7.263050E-08  2.888740E-06
    134  5.003799836445E-02  1.209849E-19  1.352806E-16  9.996802E-15  3.881520E-12  7.968462E-11  6.862323E-09  7.359297E-08  3.010835E-06
    135  5.019682549602E-02  1.050107E-19  1.208759E-16  9.128153E-15  3.654104E-12  7.664770E-11  6.789804E-09  7.439952E-08  3.130581E-06
    136  5.035511419132E-02  9.099643E-20  1.077932E-16  8.317783E-15  3.432713E-12  7.356700E-11  6.703181E-09  7.504497E-08  3.247546E-06
    137  5.051299755300E-02  7.871213E-20  9.592238E-17  7.562531E-15  3.217464E-12  7.044909E-11  6.602379E-09  7.551899E-08  3.360875E-06
    138  5.067010535678E-02  6.798606E-20  8.519344E-17  6.861441E-15  3.009059E-12  6.730934E-11  6.487612E-09  7.580898E-08  3.469230E-06
    139  5.082726902819E-02  5.858665E-20  7.546121E-17  6.208226E-15  2.806549E-12  6.413802E-11  6.358148E-09  7.590323E-08  3.571950E-06
    140  5.098506829486E-02  5.033815E-20  6.661870E-17  5.598508E-15  2.609369E-12  6.092936E-11  6.213162E-09  7.578512E-08  3.667942E-06
    141  5.114361869269E-02  4.311346E-20  5.859741E-17  5.030135E-15  2.417568E-12  5.768651E-11  6.052091E-09  7.543504E-08  3.755555E-06
    142  5.130328078870E-02  3.678999E-20  5.132334E-17  4.500282E-15  2.230909E-12  5.440767E-11  5.874064E-09  7.483055E-08  3.833004E-06
    143  5.146205644840E-02  3.133745E-20  4.482325E-17  4.013444E-15  2.051826E-12  5.114001E-11  5.681111E-09  7.396119E-08  3.897320E-06
    144  5.162089365231E-02  2.661764E-20  3.899159E-17  3.564278E-15  1.879288E-12  4.787088E-11  5.472156E-09  7.280708E-08  3.946877E-06
