 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                na22          na23          na24          na25          na26          na27          na28          na29 
     72  3.757630769329E-02  2.344444E-18  3.003499E-14  3.703719E-14  8.533805E-13  4.950822E-14  9.048920E-15  6.388140E-18  2.778644E-20
     73  3.788075418501E-02  2.491260E-18  3.319872E-14  4.162011E-14  9.857576E-13  5.835958E-14  1.090913E-14  7.788300E-18  3.447095E-20
     74  3.819794660071E-02  2.644317E-18  3.654743E-14  4.658431E-14  1.134351E-12  6.859321E-14  1.312818E-14  9.483763E-18  4.274826E-20
     75  3.838080203158E-02  2.731639E-18  3.847022E-14  4.949036E-14  1.223935E-12  7.491959E-14  1.453643E-14  1.057322E-17  4.816602E-20
     76  3.859219912978E-02  2.832527E-18  4.070154E-14  5.291158E-14  1.331782E-12  8.268398E-14  1.630079E-14  1.195111E-17  5.511526E-20
     77  3.884096228080E-02  2.947730E-18  4.324004E-14  5.688095E-14  1.460609E-12  9.220623E-14  1.852375E-14  1.370919E-17  6.414734E-20
     78  3.907668434759E-02  3.051930E-18  4.551207E-14  6.051400E-14  1.582386E-12  1.014829E-13  2.075578E-14  1.549939E-17  7.353342E-20
     79  3.934936577490E-02  3.164500E-18  4.791923E-14  6.446499E-14  1.719703E-12  1.123182E-13  2.345375E-14  1.769779E-17  8.532368E-20
     80  3.961640452516E-02  3.264394E-18  4.998856E-14  6.797326E-14  1.846893E-12  1.227919E-13  2.616791E-14  1.994994E-17  9.771573E-20
     81  3.991996766101E-02  3.362784E-18  5.192623E-14  7.140379E-14  1.977848E-12  1.341745E-13  2.926212E-14  2.257295E-17  1.125809E-19
     82  4.019473378510E-02  3.435364E-18  5.324472E-14  7.389207E-14  2.079335E-12  1.436384E-13  3.198605E-14  2.494006E-17  1.264499E-19
     83  4.046928694587E-02  3.490404E-18  5.412223E-14  7.572880E-14  2.161186E-12  1.520008E-13  3.455830E-14  2.723711E-17  1.403930E-19
     84  4.074955599116E-02  3.525344E-18  5.451157E-14  7.682969E-14  2.219635E-12  1.589720E-13  3.691118E-14  2.941428E-17  1.541989E-19
     85  4.099011663524E-02  3.535689E-18  5.440476E-14  7.708252E-14  2.246007E-12  1.633504E-13  3.860901E-14  3.106136E-17  1.652197E-19
     86  4.118445936105E-02  3.529600E-18  5.401467E-14  7.680046E-14  2.249832E-12  1.656394E-13  3.970826E-14  3.219301E-17  1.732679E-19
     87  4.137235583218E-02  3.510733E-18  5.338144E-14  7.611186E-14  2.238052E-12  1.666962E-13  4.050264E-14  3.308345E-17  1.801027E-19
     88  4.152714488067E-02  3.485294E-18  5.267639E-14  7.524368E-14  2.216832E-12  1.666740E-13  4.093967E-14  3.364744E-17  1.849039E-19
     89  4.165981986900E-02  3.456266E-18  5.194623E-14  7.429158E-14  2.190502E-12  1.660024E-13  4.114887E-14  3.399905E-17  1.883490E-19
     90  4.188596337322E-02  3.391470E-18  5.045416E-14  7.225744E-14  2.129139E-12  1.634870E-13  4.114291E-14  3.430296E-17  1.926630E-19
     91  4.208159634323E-02  3.320183E-18  4.893942E-14  7.012444E-14  2.060714E-12  1.599802E-13  4.076936E-14  3.425899E-17  1.947180E-19
     92  4.230932596557E-02  3.220479E-18  4.696107E-14  6.728289E-14  1.965915E-12  1.545045E-13  3.992602E-14  3.385788E-17  1.951157E-19
     93  4.251598135750E-02  3.115524E-18  4.500589E-14  6.444140E-14  1.868558E-12  1.484176E-13  3.881197E-14  3.318672E-17  1.936547E-19
     94  4.274368410830E-02  2.986271E-18  4.273117E-14  6.111883E-14  1.752804E-12  1.407661E-13  3.726075E-14  3.215212E-17  1.902125E-19
     95  4.294191711445E-02  2.863866E-18  4.068416E-14  5.812942E-14  1.647821E-12  1.335314E-13  3.568899E-14  3.104103E-17  1.858403E-19
     96  4.316569238790E-02  2.717414E-18  3.834284E-14  5.472402E-14  1.528124E-12  1.250115E-13  3.374204E-14  2.961123E-17  1.796700E-19
     97  4.339365876136E-02  2.561760E-18  3.595544E-14  5.127917E-14  1.407928E-12  1.162124E-13  3.164429E-14  2.802390E-17  1.723610E-19
     98  4.362382833621E-02  2.400656E-18  3.356549E-14  4.786796E-14  1.290844E-12  1.074410E-13  2.948079E-14  2.634820E-17  1.642761E-19
