 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                f22           f23           f24           f25           f26           ne16          ne17          ne18 
    151  5.276353482958E-02  9.292707E-19  1.296646E-18  1.130358E-21  2.982760E-24  1.382384E-28  1.000000E-30  1.000000E-30  1.385136E-27
    152  5.293536770993E-02  9.467114E-19  1.340340E-18  1.180611E-21  2.863730E-24  1.327145E-28  1.000000E-30  1.000000E-30  1.326688E-27
    153  5.310288915571E-02  9.653844E-19  1.387652E-18  1.234744E-21  2.785860E-24  1.291033E-28  1.000000E-30  1.000000E-30  1.271586E-27
    154  5.325369291828E-02  9.832997E-19  1.433760E-18  1.287521E-21  2.742114E-24  1.270791E-28  1.000000E-30  1.000000E-30  1.223524E-27
    155  5.339308966526E-02  1.000585E-18  1.479045E-18  1.339525E-21  2.719943E-24  1.260592E-28  1.000000E-30  1.000000E-30  1.180354E-27
    156  5.362726198018E-02  1.030781E-18  1.560241E-18  1.433454E-21  2.714006E-24  1.258119E-28  1.000000E-30  1.000000E-30  1.110471E-27
    157  5.383816121000E-02  1.058763E-18  1.638245E-18  1.524761E-21  2.733516E-24  1.267493E-28  1.000000E-30  1.000000E-30  1.050228E-27
    158  5.403768730975E-02  1.085589E-18  1.715778E-18  1.616706E-21  2.767278E-24  1.283520E-28  1.000000E-30  1.000000E-30  9.955162E-28
    159  5.422986619970E-02  1.111459E-18  1.793463E-18  1.710121E-21  2.810179E-24  1.303849E-28  1.000000E-30  1.000000E-30  9.448988E-28
    160  5.440569294967E-02  1.134985E-18  1.866849E-18  1.799618E-21  2.855649E-24  1.325399E-28  1.000000E-30  1.000000E-30  9.003550E-28
    161  5.456994612052E-02  1.156705E-18  1.937207E-18  1.886607E-21  2.901791E-24  1.347282E-28  1.000000E-30  1.000000E-30  8.602419E-28
    162  5.485681963417E-02  1.193829E-18  2.063877E-18  2.046226E-21  2.987435E-24  1.388001E-28  1.000000E-30  1.000000E-30  7.936317E-28
