 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                br79          br80          br81          br82          br83          br84          br85          br86 
    153  5.310288915571E-02  1.643606E-16  7.844041E-15  9.248010E-13  1.649110E-11  7.941467E-10  3.453702E-09  4.058430E-08  1.070728E-08
    154  5.325369291828E-02  1.798635E-16  8.765219E-15  1.062463E-12  1.933605E-11  9.557963E-10  4.231750E-09  5.101375E-08  1.361354E-08
    155  5.339308966526E-02  1.937619E-16  9.626875E-15  1.197234E-12  2.220347E-11  1.124383E-09  5.061231E-09  6.247221E-08  1.684846E-08
    156  5.362726198018E-02  2.152825E-16  1.104958E-14  1.434759E-12  2.746567E-11  1.448610E-09  6.704997E-09  8.612730E-08  2.364595E-08
    157  5.383816121000E-02  2.316054E-16  1.224243E-14  1.653094E-12  3.256634E-11  1.782029E-09  8.458323E-09  1.126254E-07  3.142054E-08
    158  5.403768730975E-02  2.435930E-16  1.324048E-14  1.855555E-12  3.756267E-11  2.128506E-09  1.034668E-08  1.425546E-07  4.037947E-08
    159  5.422986619970E-02  2.515103E-16  1.404375E-14  2.039988E-12  4.239369E-11  2.484605E-09  1.235868E-08  1.759781E-07  5.058303E-08
    160  5.440569294967E-02  2.554439E-16  1.461977E-14  2.194684E-12  4.671874E-11  2.824052E-09  1.434654E-08  2.105504E-07  6.133936E-08
    161  5.456994612052E-02  2.562957E-16  1.501101E-14  2.323846E-12  5.059369E-11  3.148013E-09  1.631089E-08  2.462420E-07  7.264468E-08
    162  5.485681963417E-02  2.517225E-16  1.535037E-14  2.507826E-12  5.679065E-11  3.717101E-09  1.993660E-08  3.162732E-07  9.538420E-08
    163  5.511708850657E-02  2.418208E-16  1.529835E-14  2.624966E-12  6.161209E-11  4.222744E-09  2.337093E-08  3.878140E-07  1.193205E-07
    164  5.536560227933E-02  2.284973E-16  1.497211E-14  2.692338E-12  6.539661E-11  4.684036E-09  2.671461E-08  4.628080E-07  1.451440E-07
    165  5.559867087093E-02  2.135531E-16  1.446219E-14  2.717851E-12  6.817807E-11  5.089851E-09  2.986090E-08  5.387029E-07  1.720120E-07
    166  5.582344501454E-02  1.976483E-16  1.381902E-14  2.710411E-12  7.014456E-11  5.451219E-09  3.286666E-08  6.166621E-07  2.003568E-07
    167  5.608267729631E-02  1.784216E-16  1.294310E-14  2.667318E-12  7.156298E-11  5.825949E-09  3.625319E-08  7.118091E-07  2.359640E-07
    168  5.632179590432E-02  1.605470E-16  1.204989E-14  2.599440E-12  7.210593E-11  6.127908E-09  3.926231E-08  8.039628E-07  2.715089E-07
    169  5.658568452696E-02  1.412978E-16  1.101191E-14  2.498735E-12  7.191580E-11  6.409287E-09  4.241336E-08  9.097968E-07  3.136269E-07
    170  5.682194908758E-02  1.248849E-16  1.006689E-14  2.390313E-12  7.110987E-11  6.613672E-09  4.505322E-08  1.007582E-06  3.537970E-07
    171  5.707748662895E-02  1.083101E-16  9.055874E-15  2.258585E-12  6.964472E-11  6.783950E-09  4.768839E-08  1.115840E-06  3.997165E-07
    172  5.730159219632E-02  9.492926E-17  8.196123E-15  2.134384E-12  6.792285E-11  6.890671E-09  4.979509E-08  1.212368E-06  4.419880E-07
    173  5.769211250520E-02  7.435872E-17  6.790741E-15  1.907239E-12  6.413362E-11  6.985768E-09  5.297939E-08  1.382780E-06  5.198249E-07
    174  5.804755660481E-02  5.866657E-17  5.639656E-15  1.697596E-12  6.003597E-11  6.979665E-09  5.532141E-08  1.538830E-06  5.949306E-07
    175  5.837706807704E-02  4.659417E-17  4.697942E-15  1.508280E-12  5.590174E-11  6.905047E-09  5.702287E-08  1.682934E-06  6.678244E-07
    176  5.868213309337E-02  3.733732E-17  3.935009E-15  1.341244E-12  5.192321E-11  6.784842E-09  5.820659E-08  1.814990E-06  7.378717E-07
