 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mg23          mg24          mg25          mg26          mg27          mg28          mg29          mg30 
    128  4.903755607841E-02  2.100294E-22  2.406032E-15  3.796015E-15  4.361503E-13  3.890413E-13  3.070268E-12  3.327981E-14  2.375845E-15
    129  4.921259737621E-02  2.134338E-22  2.496335E-15  3.733383E-15  3.673722E-13  3.252986E-13  2.621495E-12  2.870775E-14  2.082704E-15
    130  4.938368810460E-02  2.170617E-22  2.593634E-15  3.718962E-15  3.123175E-13  2.729867E-13  2.242668E-12  2.480647E-14  1.828154E-15
    131  4.955132280349E-02  2.208421E-22  2.697233E-15  3.743146E-15  2.682160E-13  2.299317E-13  1.922057E-12  2.146997E-14  1.606718E-15
    132  4.971624312404E-02  2.247299E-22  2.806878E-15  3.798849E-15  2.328457E-13  1.943485E-13  1.649617E-12  1.860572E-14  1.413436E-15
    133  4.987811857735E-02  2.286693E-22  2.921791E-15  3.880376E-15  2.046547E-13  1.650095E-13  1.418646E-12  1.615319E-14  1.245226E-15
    134  5.003799836445E-02  2.326850E-22  3.042963E-15  3.984535E-15  1.820881E-13  1.405836E-13  1.220836E-12  1.403167E-14  1.097310E-15
    135  5.019682549602E-02  2.367370E-22  3.170342E-15  4.108556E-15  1.641598E-13  1.202497E-13  1.051365E-12  1.219670E-14  9.673476E-16
    136  5.035511419132E-02  2.408096E-22  3.304200E-15  4.250601E-15  1.500655E-13  1.033213E-13  9.060282E-13  1.060835E-14  8.530975E-16
    137  5.051299755300E-02  2.448836E-22  3.444641E-15  4.409146E-15  1.391816E-13  8.926567E-14  7.815573E-13  9.235580E-15  7.528347E-16
    138  5.067010535678E-02  2.489294E-22  3.591346E-15  4.582504E-15  1.310162E-13  7.766811E-14  6.754417E-13  8.054826E-15  6.652901E-16
    139  5.082726902819E-02  2.529500E-22  3.745161E-15  4.770642E-15  1.251038E-13  6.809531E-14  5.847335E-13  7.036815E-15  5.886897E-16
    140  5.098506829486E-02  2.569433E-22  3.906843E-15  4.973738E-15  1.210968E-13  6.021916E-14  5.071936E-13  6.159379E-15  5.217044E-16
    141  5.114361869269E-02  2.608955E-22  4.076777E-15  5.191714E-15  1.187298E-13  5.379225E-14  4.411608E-13  5.406280E-15  4.633936E-16
    142  5.130328078870E-02  2.647994E-22  4.255682E-15  5.425062E-15  1.177832E-13  4.859712E-14  3.851068E-13  4.762325E-15  4.128490E-16
    143  5.146205644840E-02  2.685921E-22  4.441555E-15  5.670792E-15  1.180710E-13  4.450780E-14  3.383747E-13  4.221984E-15  3.698878E-16
    144  5.162089365231E-02  2.722837E-22  4.635690E-15  5.930302E-15  1.194207E-13  4.132795E-14  2.994169E-13  3.769134E-15  3.334575E-16
    145  5.177902725711E-02  2.758453E-22  4.837370E-15  6.202402E-15  1.216860E-13  3.893084E-14  2.673447E-13  3.394929E-15  3.030461E-16
    146  5.193558292952E-02  2.792799E-22  5.046519E-15  6.486702E-15  1.247425E-13  3.719617E-14  2.412370E-13  3.089765E-15  2.780374E-16
    147  5.207655208218E-02  2.822650E-22  5.242555E-15  6.754897E-15  1.281111E-13  3.610602E-14  2.219981E-13  2.865222E-15  2.595529E-16
