 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                be9           be10          be11          be12          b8            b9            b10           b11  
    102  4.453208602613E-02  9.235302E-13  3.627428E-16  1.252877E-20  5.627060E-25  3.803035E-26  3.642938E-18  5.692738E-15  2.252592E-13
    103  4.474836808964E-02  9.243356E-13  3.627428E-16  1.252863E-20  5.587960E-25  4.617091E-26  3.895005E-18  5.958718E-15  2.073029E-13
    104  4.497736119052E-02  9.250100E-13  3.627428E-16  1.252849E-20  5.546858E-25  5.566708E-26  4.150961E-18  6.226534E-15  1.926116E-13
    105  4.517199675598E-02  9.254078E-13  3.627428E-16  1.252837E-20  5.512161E-25  6.409579E-26  4.350342E-18  6.437232E-15  1.830774E-13
    106  4.536038532241E-02  9.256190E-13  3.627428E-16  1.252825E-20  5.478784E-25  7.215351E-26  4.519575E-18  6.621881E-15  1.760350E-13
    107  4.552484255766E-02  9.256545E-13  3.627428E-16  1.252815E-20  5.449812E-25  7.877461E-26  4.643262E-18  6.764918E-15  1.714061E-13
    108  4.581275722245E-02  9.253790E-13  3.627428E-16  1.252797E-20  5.399460E-25  8.858186E-26  4.796747E-18  6.970150E-15  1.661604E-13
    109  4.603616864208E-02  9.248795E-13  3.627428E-16  1.252783E-20  5.360710E-25  9.402261E-26  4.856385E-18  7.087816E-15  1.642039E-13
    110  4.624194314299E-02  9.242175E-13  3.627428E-16  1.252770E-20  5.325264E-25  9.704040E-26  4.865431E-18  7.164174E-15  1.637570E-13
    111  4.641297951594E-02  9.235401E-13  3.627428E-16  1.252759E-20  5.295981E-25  9.809981E-26  4.842359E-18  7.205881E-15  1.642291E-13
    112  4.656990459822E-02  9.228309E-13  3.627428E-16  1.252749E-20  5.269255E-25  9.797951E-26  4.799305E-18  7.228054E-15  1.652504E-13
    113  4.671253119976E-02  9.221241E-13  3.627428E-16  1.252740E-20  5.245082E-25  9.704873E-26  4.744160E-18  7.235932E-15  1.666136E-13
    114  4.684580987606E-02  9.214179E-13  3.627428E-16  1.252732E-20  5.222593E-25  9.555747E-26  4.680672E-18  7.233654E-15  1.682240E-13
    115  4.697520204195E-02  9.206969E-13  3.627428E-16  1.252723E-20  5.200852E-25  9.361616E-26  4.609552E-18  7.223336E-15  1.700696E-13
    116  4.709649788536E-02  9.199944E-13  3.627428E-16  1.252716E-20  5.180554E-25  9.142423E-26  4.535676E-18  7.207076E-15  1.720303E-13
    117  4.721637454993E-02  9.192792E-13  3.627428E-16  1.252708E-20  5.160571E-25  8.896677E-26  4.456921E-18  7.185327E-15  1.741692E-13
    118  4.732862910872E-02  9.185943E-13  3.627428E-16  1.252701E-20  5.141928E-25  8.645342E-26  4.378870E-18  7.160312E-15  1.763396E-13
    119  4.750539400184E-02  9.174927E-13  3.627428E-16  1.252690E-20  5.112709E-25  8.218551E-26  4.249336E-18  7.112799E-15  1.800576E-13
    120  4.767210524850E-02  9.164358E-13  3.627428E-16  1.252680E-20  5.085304E-25  7.792764E-26  4.121714E-18  7.060018E-15  1.838695E-13
    121  4.783406579930E-02  9.153991E-13  3.627428E-16  1.252669E-20  5.058820E-25  7.367667E-26  3.994410E-18  7.002359E-15  1.878290E-13
    122  4.799263518131E-02  9.143796E-13  3.627428E-16  1.252660E-20  5.033024E-25  6.947870E-26  3.867870E-18  6.940576E-15  1.919297E-13
    123  4.815339657435E-02  9.133437E-13  3.627428E-16  1.252649E-20  5.007006E-25  6.523051E-26  3.738370E-18  6.872913E-15  1.963041E-13
    124  4.832264594384E-02  9.122575E-13  3.627428E-16  1.252639E-20  4.979760E-25  6.084547E-26  3.602292E-18  6.797386E-15  2.011130E-13
    125  4.849826454798E-02  9.111392E-13  3.627428E-16  1.252628E-20  4.951645E-25  5.643520E-26  3.462294E-18  6.715052E-15  2.063035E-13
    126  4.867786870736E-02  9.100081E-13  3.627428E-16  1.252616E-20  4.923056E-25  5.210800E-26  3.321184E-18  6.627326E-15  2.118028E-13
    127  4.885872256535E-02  9.088848E-13  3.627428E-16  1.252605E-20  4.894435E-25  4.796316E-26  3.181848E-18  6.535975E-15  2.175158E-13
    128  4.903755607841E-02  9.077917E-13  3.627428E-16  1.252594E-20  4.866298E-25  4.408966E-26  3.047273E-18  6.443169E-15  2.233191E-13
