 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                p32           p33           p34           p35           p36           p37           p38           p39  
    139  5.082726902819E-02  1.585188E-14  2.444593E-12  1.972332E-12  1.279442E-11  1.080134E-13  2.794407E-14  1.790168E-16  1.886285E-17
    140  5.098506829486E-02  1.337988E-14  2.112728E-12  1.732633E-12  1.150852E-11  9.780246E-14  2.576992E-14  1.664488E-16  1.783045E-17
    141  5.114361869269E-02  1.126567E-14  1.820853E-12  1.517980E-12  1.032523E-11  8.833333E-14  2.370754E-14  1.543978E-16  1.681645E-17
    142  5.130328078870E-02  9.459260E-15  1.564285E-12  1.325830E-12  9.236518E-12  7.955282E-14  2.175107E-14  1.428414E-16  1.582041E-17
    143  5.146205644840E-02  7.938959E-15  1.342060E-12  1.156337E-12  8.249380E-12  7.152903E-14  1.992200E-14  1.319203E-16  1.485635E-17
    144  5.162089365231E-02  6.654523E-15  1.148802E-12  1.006227E-12  7.350779E-12  6.416771E-14  1.820544E-14  1.215605E-16  1.391999E-17
    145  5.177902725711E-02  5.577194E-15  9.819146E-13  8.742245E-13  6.538606E-12  5.746254E-14  1.660624E-14  1.118061E-16  1.301757E-17
    146  5.193558292952E-02  4.677359E-15  8.384354E-13  7.586472E-13  5.807864E-12  5.138193E-14  1.512268E-14  1.026587E-16  1.215100E-17
    147  5.207655208218E-02  3.991690E-15  7.260153E-13  6.665321E-13  5.210337E-12  4.637366E-14  1.387496E-14  9.488984E-17  1.139925E-17
    148  5.220437120847E-02  3.458955E-15  6.364277E-13  5.920013E-13  4.715665E-12  4.220084E-14  1.281606E-14  8.824026E-17  1.074389E-17
    149  5.240275279905E-02  2.775376E-15  5.179201E-13  4.916225E-13  4.031123E-12  3.638270E-14  1.130742E-14  7.867216E-17  9.780692E-18
    150  5.258707116153E-02  2.271259E-15  4.273119E-13  4.132533E-13  3.479631E-12  3.165478E-14  1.005108E-14  7.061537E-17  8.950482E-18
    151  5.276353482958E-02  1.885774E-15  3.556381E-13  3.500704E-13  3.022179E-12  2.770283E-14  8.978029E-15  6.366800E-17  8.220367E-18
    152  5.293536770993E-02  1.585726E-15  2.980207E-13  2.983831E-13  2.638113E-12  2.436211E-14  8.053641E-15  5.763466E-17  7.576072E-18
    153  5.310288915571E-02  1.352222E-15  2.517809E-13  2.562377E-13  2.317546E-12  2.155720E-14  7.265093E-15  5.245522E-17  7.016492E-18
    154  5.325369291828E-02  1.183230E-15  2.173686E-13  2.244424E-13  2.070897E-12  1.938902E-14  6.648261E-15  4.838704E-17  6.574329E-18
    155  5.339308966526E-02  1.055897E-15  1.907995E-13  1.996246E-13  1.875405E-12  1.766507E-14  6.154280E-15  4.512442E-17  6.220033E-18
    156  5.362726198018E-02  8.921482E-16  1.556489E-13  1.664290E-13  1.610152E-12  1.532147E-14  5.481682E-15  4.069586E-17  5.746502E-18
