 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pm171         pm172         pm173         pm174         pm175         pm176         pm177         pm178
     78  1.949739812628E-03  1.023355E-30  1.002223E-30  1.000254E-30  1.010598E-30  1.011176E-30  1.018675E-30  1.064551E-30  1.003891E-30
     79  2.007489276907E-03  1.024081E-30  1.002315E-30  1.000293E-30  1.010970E-30  1.011599E-30  1.019370E-30  1.066483E-30  1.004185E-30
     80  2.065592139419E-03  1.024814E-30  1.002409E-30  1.000335E-30  1.011348E-30  1.012031E-30  1.020078E-30  1.068429E-30  1.004491E-30
     81  2.124047755162E-03  1.025553E-30  1.002505E-30  1.000379E-30  1.011732E-30  1.012470E-30  1.020797E-30  1.070387E-30  1.004809E-30
     82  2.182855495215E-03  1.026298E-30  1.002604E-30  1.000427E-30  1.012121E-30  1.012918E-30  1.021528E-30  1.072358E-30  1.005138E-30
     83  2.242014752368E-03  1.027050E-30  1.002704E-30  1.000478E-30  1.012517E-30  1.013374E-30  1.022271E-30  1.074341E-30  1.005479E-30
     84  2.301524943777E-03  1.027808E-30  1.002807E-30  1.000532E-30  1.012918E-30  1.013838E-30  1.023026E-30  1.076337E-30  1.005833E-30
     85  2.361385511936E-03  1.028573E-30  1.002913E-30  1.000590E-30  1.013326E-30  1.014311E-30  1.023794E-30  1.078344E-30  1.006198E-30
     86  2.421595924701E-03  1.029345E-30  1.003020E-30  1.000650E-30  1.013739E-30  1.014793E-30  1.024574E-30  1.080365E-30  1.006575E-30
     87  2.482155674804E-03  1.030123E-30  1.003130E-30  1.000714E-30  1.014159E-30  1.015283E-30  1.025367E-30  1.082397E-30  1.006964E-30
     88  2.543064279071E-03  1.030908E-30  1.003242E-30  1.000782E-30  1.014585E-30  1.015782E-30  1.026172E-30  1.084442E-30  1.007366E-30
     89  2.604321277494E-03  1.031699E-30  1.003357E-30  1.000853E-30  1.015017E-30  1.016291E-30  1.026990E-30  1.086499E-30  1.007779E-30
     90  2.665926232237E-03  1.032497E-30  1.003474E-30  1.000927E-30  1.015456E-30  1.016808E-30  1.027821E-30  1.088569E-30  1.008205E-30
     91  2.727878734382E-03  1.033302E-30  1.003594E-30  1.001005E-30  1.015901E-30  1.017334E-30  1.028664E-30  1.090650E-30  1.008643E-30
     92  2.790178404165E-03  1.034113E-30  1.003716E-30  1.001086E-30  1.016352E-30  1.017870E-30  1.029520E-30  1.092743E-30  1.009094E-30
     93  2.852824875480E-03  1.034931E-30  1.003840E-30  1.001171E-30  1.016810E-30  1.018415E-30  1.030389E-30  1.094849E-30  1.009557E-30
     94  2.915817796872E-03  1.035756E-30  1.003968E-30  1.001260E-30  1.017275E-30  1.018969E-30  1.031271E-30  1.096966E-30  1.010032E-30
     95  2.979156831833E-03  1.036588E-30  1.004097E-30  1.001353E-30  1.017746E-30  1.019534E-30  1.032167E-30  1.099096E-30  1.010520E-30
