 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mg31          mg32          mg33          mg34          mg35          mg36          mg37          al22 
     83  2.242014752368E-03  1.100551E-30  1.098765E-30  1.173194E-30  1.197095E-30  1.000000E-30  1.000000E-30  1.001185E-30  1.040003E-30
     84  2.301524943777E-03  1.103638E-30  1.101363E-30  1.177751E-30  1.202121E-30  1.000000E-30  1.000000E-30  1.001187E-30  1.041058E-30
     85  2.361385511936E-03  1.106765E-30  1.103974E-30  1.182333E-30  1.207166E-30  1.000000E-30  1.000000E-30  1.001189E-30  1.042118E-30
     86  2.421595924701E-03  1.109931E-30  1.106599E-30  1.186939E-30  1.212230E-30  1.000000E-30  1.000000E-30  1.001190E-30  1.043185E-30
     87  2.482155674804E-03  1.113137E-30  1.109239E-30  1.191570E-30  1.217312E-30  1.000000E-30  1.000000E-30  1.001190E-30  1.044257E-30
     88  2.543064279071E-03  1.116383E-30  1.111892E-30  1.196225E-30  1.222413E-30  1.000000E-30  1.000000E-30  1.001189E-30  1.045334E-30
     89  2.604321277494E-03  1.119670E-30  1.114559E-30  1.200904E-30  1.227533E-30  1.000000E-30  1.000000E-30  1.001188E-30  1.046418E-30
     90  2.665926232237E-03  1.122997E-30  1.117240E-30  1.205608E-30  1.232670E-30  1.000000E-30  1.000000E-30  1.001186E-30  1.047507E-30
     91  2.727878734382E-03  1.126365E-30  1.119934E-30  1.210337E-30  1.237825E-30  1.000000E-30  1.000000E-30  1.001183E-30  1.048602E-30
     92  2.790178404165E-03  1.129775E-30  1.122643E-30  1.215089E-30  1.242999E-30  1.000000E-30  1.000000E-30  1.001180E-30  1.049703E-30
     93  2.852824875480E-03  1.133226E-30  1.125365E-30  1.219866E-30  1.248189E-30  1.000000E-30  1.000000E-30  1.001176E-30  1.050810E-30
     94  2.915817796872E-03  1.136719E-30  1.128101E-30  1.224667E-30  1.253398E-30  1.000000E-30  1.000000E-30  1.001171E-30  1.051922E-30
     95  2.979156831833E-03  1.140254E-30  1.130850E-30  1.229492E-30  1.258623E-30  1.000000E-30  1.000000E-30  1.001165E-30  1.053040E-30
